	N	D	A
0	3070	-3.1399804530842723	-1.5630034
1	3070	-3.1384968495964047	2.0279458
2	3070	-3.138085339139916	2.527878
3	3070	-3.131457854945937	-2.758236
4	3070	-3.1274239695500916	-2.8880055
5	3070	-3.126820240393532	3.1085021
6	3070	-3.1213108734267236	-2.9396558
7	3070	-3.120154853920666	-3.0421758
8	3070	-3.116066822412125	-3.1297033
9	3070	-3.1133865898336777	-2.3850207
10	3070	-3.1106359673087254	-2.750827
11	3070	-3.1081100511514617	-2.707007
12	3070	-3.1016531272124745	-2.5030668
13	3070	-3.099717403683596	2.5353167
14	3070	-3.0847053939386555	-2.0720596
15	3070	-3.084475272959698	-2.3511207
16	3070	-3.0817408942685547	2.7922232
17	3070	-3.081418724898014	3.057155
18	3070	-3.076320868387694	-2.411648
19	3070	-3.0748643379561744	-1.8941947
20	3070	-3.070278162210831	-2.2341945
21	3070	-3.069511994716184	-1.6022547
22	3070	-3.0668209329151974	-1.383313
23	3070	-3.0618042955739213	-1.8197838
24	3070	-3.055065811848916	1.5311334
25	3070	-3.0546597160036963	-2.862144
26	3070	-3.0496701517187685	-2.9742856
27	3070	-3.0473310396503055	-3.092793
28	3070	-3.0377146900355125	-2.469559
29	3070	-3.033921754841164	-2.5190873
30	3070	-3.033567097803006	2.998473
31	3070	-3.032294664154652	-3.0006907
32	3070	-3.03179110530658	-2.667204
33	3070	-3.0277328541600217	-2.8214595
34	3070	-3.024714208377225	-2.4291396
35	3070	-3.0217307575676804	-2.238487
36	3070	-3.018679624117266	-2.1268666
37	3070	-3.0152630044061546	-1.895473
38	3070	-3.012322870486767	-1.8511565
39	3070	-3.0099972949464773	-1.773236
40	3070	-3.0081590344204514	-1.5445449
41	3070	-3.005094364441863	-1.5058537
42	3070	-3.001718354315273	-1.5492657
43	3070	-2.9988052934522336	-1.2398208
44	3070	-2.9951368943170857	-1.3068197
45	3070	-2.992616392771091	-1.3060873
46	3070	-2.988587921986516	-2.7670133
47	3070	-2.9882251430314533	2.8650744
48	3070	-2.987962534384878	-1.6607336
49	3070	-2.9876132919579894	1.6765358
50	3070	-2.98700956280143	-2.7256846
51	3070	-2.9776043830261507	2.5791895
52	3070	-2.973678789855698	-2.5245943
53	3070	-2.9704733399840997	-2.5745583
54	3070	-2.9684103730903857	-2.704712
55	3070	-2.9658709204049476	-2.2615926
56	3070	-2.964823193124282	-2.2735896
57	3070	-2.957521589827239	2.6324756
58	3070	-2.956955762949567	-1.7479163
59	3070	-2.9557022804406565	-3.0378263
60	3070	-2.9550525270883057	-2.563056
61	3070	-2.9528298291621384	-2.5957832
62	3070	-2.9509238859952425	-2.3179388
63	3070	-2.948498140146466	-1.76052
64	3070	-2.9463322956386295	-2.512962
65	3070	-2.937574161910067	-1.8581206
66	3070	-2.937011042338029	-2.8550248
67	3070	-2.933293911701455	-2.903046
68	3070	-2.932227233281346	-2.5963871
69	3070	-2.9295605372310725	-2.4448261
70	3070	-2.9281554456066137	-2.619513
71	3070	-2.927708740176872	-2.4566803
72	3070	-2.9249960199308074	-2.3883154
73	3070	-2.91987109036414	-2.7518828
74	3070	-2.916346178427636	1.3053753
75	3070	-2.916045667502174	-3.1096163
76	3070	-2.9132571426983347	2.9937427
77	3070	-2.9108855429622538	-2.6537395
78	3070	-2.90617483115771	-0.864588
79	3070	-2.9055331997222638	-2.8072553
80	3070	-2.897097235364241	-0.12745333
81	3070	-2.896387921287925	-1.954918
82	3070	-2.8939459316053395	3.0892117
83	3070	-2.8898254124291807	-3.0601
84	3070	-2.887743494396023	-1.8809375
85	3070	-2.8861136964038763	-2.087376
86	3070	-2.8814598380176633	-2.2570333
87	3070	-2.880720743579364	-2.377895
88	3070	-2.87931835926054	-2.3844635
89	3070	-2.8771037832512776	-1.9416394
90	3070	-2.873673627011992	2.5216515
91	3070	-2.8732215069709808	-2.7296836
92	3070	-2.869054963599031	-2.4654045
93	3070	-2.8629770624489153	-2.6911
94	3070	-2.857023697358	-1.600317
95	3070	-2.856509309287389	-2.09979
96	3070	-2.8529058854874765	-2.5244818
97	3070	-2.851138014907955	-2.2749453
98	3070	-2.8471772267642494	-1.9853419
99	3070	-2.828699865806771	-2.9978945
100	3070	-2.827167530817477	-2.2466683
101	3070	-2.8269780194230414	-2.7419503
102	3070	-2.826041291673402	-2.0194926
103	3070	-2.8233258641217023	-2.0773735
104	3070	-2.821211458420927	-1.9617144
105	3070	-2.814705802980514	-1.8555458
106	3070	-2.8137203437294485	-1.6410486
107	3070	-2.8057798163025933	-2.7007864
108	3070	-2.8034352896228607	-2.7819211
109	3070	-2.802701609795831	-2.1179376
110	3070	-2.80185963774341	-2.056598
111	3070	-2.7999699384103227	-2.0545223
112	3070	-2.791217219293029	-1.9330502
113	3070	-2.7883447680145115	-1.6503067
114	3070	-2.7837558849635333	-2.9126456
115	3070	-2.7827460599617546	-1.5700667
116	3070	-2.777223156466772	-3.013256
117	3070	-2.775279311020989	-2.42492
118	3070	-2.77235000632414	-2.1144524
119	3070	-2.7533203550171637	-2.6760237
120	3070	-2.7412376499690723	-2.8196948
121	3070	-2.7387198557287125	-1.3499053
122	3070	-2.7363265975475533	-1.8599699
123	3070	-2.7347211653061194	-1.693567
124	3070	-2.7323685167094824	-2.1269007
125	3070	-2.7311935460639813	-1.5470878
126	3070	-2.7209626380700893	-1.2249508
127	3070	-2.719251620908899	-1.1301019
128	3070	-2.716817753143218	-1.396892
129	3070	-2.7085252759838396	-1.6771588
130	3070	-2.7080000586906894	-1.9380755
131	3070	-2.705330655334781	-1.372899
132	3070	-2.6679481791295268	-1.9525094
133	3070	-2.6655657501709067	2.877383
134	3070	-2.6625010801923183	-1.5268046
135	3070	-2.6566722511606042	-1.845362
136	3070	-2.6547906737444213	-1.24117
137	3070	-2.654384577899202	-2.2995608
138	3070	-2.65262753654222	-1.858193
139	3070	-2.6496955245397364	-1.3718656
140	3070	-2.646224758715929	-1.788587
141	3070	-2.6432575517401933	-2.6735432
142	3070	-2.6389881307541208	-1.693239
143	3070	-2.6370740656703204	-1.7449063
144	3070	-2.636800627801206	-1.9630177
145	3070	-2.6350354645273195	-2.6839595
146	3070	-2.634152882890376	-1.4262092
147	3070	-2.6309609695469525	-0.85529184
148	3070	-2.627963982209234	-2.0012703
149	3070	-2.623515879051265	-1.0310314
150	3070	-2.6211659377602627	-1.8933212
