Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
G0-16636		TU00512	TU00512		b4759
G7686		TU0-13901	TU0-13901	G7688-MONOMER // CPLX0-226	b3241
G7685		TU0-13901	TU0-13901	G7688-MONOMER // CPLX0-226	b3240
G7688	PM0-36254	TU0-8759	TU0-8759	CPLX0-226	b3243
G7687	PM0-36253	TU0-13901	TU0-13901	G7688-MONOMER // CPLX0-226	b3242
EG11679		TU0-13751	TU0-13751		b2836
EG11112		TU0-13077	TU0-13077		b0885
G6670		TU0-13222	TU0-13222	G7072-MONOMER	b1338
G6669		TU0-13222	TU0-13222	G7072-MONOMER	b1337
G6671		TU0-8760	TU0-8760	CPLX0-226 // G7072-MONOMER	b1339
EG12853		TU0-13222	TU0-13222	G7072-MONOMER	b1336
G7363		TU0-13692	TU0-13692	G7072-MONOMER	b2628
G7362		TU0-13692	TU0-13692	G7072-MONOMER	b2627
G6384		TU0-13031	TU0-13031		b0715
EG11647	PM0-46356 // PM00523	TU0-42602 // TU00230	TU0-42602 // TU00230	PD01520	b0185
EG10275	PM0-46357 // PM00525	TU0-42603 // TU00231	TU0-42603 // TU00231	PD01520 // BCCP-CPLX	b3255
EG10276		TU0-42603 // TU00231	TU0-42603 // TU00231	PD01520 // BCCP-CPLX	b3256
EG10217	PM00526	TU00232	TU00232	PD01520	b2316
EG10022		TU00001	TU00001	PHOSPHO-ARCA // CPLX0-226 // CPLX0-7605 // PC00027 // PC00061 // G7072-MONOMER // PD00353	b4015
EG10023	PM00001	TU00001	TU00001	PHOSPHO-ARCA // CPLX0-226 // CPLX0-7605 // PC00027 // PC00061 // G7072-MONOMER // PD00353	b4014
EG10024	PM0-46556 // PM00325	TU0-45254 // TU0-45222 // TU0-6634 // TU00522	TU0-45254 // TU0-45222 // TU0-6634 // TU00522	CPLX0-7756 // PHOSPHO-ARCA // MONOMER0-4276 // PC00061 // EG11088-MONOMER // CPLX0-7797 // CPLX0-226 // EG12386-MONOMER // PHOSPHO-OMPR	b0114
EG10025		TU0-45254 // TU0-45222 // TU0-6634 // TU00522	TU0-45254 // TU0-45222 // TU0-6634 // TU00522	CPLX0-7756 // PHOSPHO-ARCA // MONOMER0-4276 // PC00061 // EG11088-MONOMER // CPLX0-7797 // CPLX0-226 // EG12386-MONOMER // PHOSPHO-OMPR	b0115
EG10026	PM0-9782	TU0-14503 // TU00001	TU0-14503 // TU00001	PHOSPHO-ARCA // CPLX0-226 // CPLX0-7605 // PC00027 // PC00061 // G7072-MONOMER // PD00353	b4016
G0-17105					b4830
EG10027	PM00524	TU0-8301 // TU00385	TU0-8301 // TU00385	PHOSPHO-CREB // G7072-MONOMER // PHOSPHO-ARCA // CPLX0-7797	b2296
EG11325	PM0-10030 // PM262	TU0-45169 // TU0-14625 // TU795 // TU794	TU0-45169 // TU0-14625 // TU795 // TU794	PD04418 // PD00365 // PD00406 // PHOSPHO-ARCA // CPLX0-7797 // CPLX0-226 // PC00061	b1276
EG12316	PM0-9960 // PM263	TU0-14608 // TU796	TU0-14608 // TU796	PHOSPHO-ARCA // CPLX0-7705 // PC00061 // CPLX0-226	b0118
EG11095		TU0-8764	TU0-8764		b0404
EG50003	PM541 // PM541	TU0-42537 // TU443 // TU442 // TU441	TU0-42537 // TU443 // TU442 // TU441	EG11088-MONOMER // PHOSPHO-ARCA	b1094
EG10247		TU484 // TU483	TU484 // TU483		b2563
EG12221		TU0-13947	TU0-13947		b3475
EG11703	PM624	TU00233	TU00233	CPLX0-7418 // EG11741-MONOMER // EG12116-MONOMER // PHOSPHO-PHOP // PD00365 // PD00406 // PD04418	b0463
EG11704	PM0-9984	TU0-14615 // TU00233	TU0-14615 // TU00233	CPLX0-7418 // EG11741-MONOMER // EG12116-MONOMER // PHOSPHO-PHOP // PD00365 // PD00406 // PD04418	b0462
EG10014	PM0-10482 // PM0-8401	TU0-14793 // TU0-8021	TU0-14793 // TU0-8021	PHOSPHO-BAER // CPLX0-7748 // PHOSPHO-EVGA	b2470
EG10266	PM0-8727	TU00234	TU00234	PD00288 // CPLX0-7797 // PHOSPHO-HYDG // G7072-MONOMER	b3265
EG10267		TU00234	TU00234	PD00288 // CPLX0-7797 // PHOSPHO-HYDG // G7072-MONOMER	b3266
EG12116	PM0-8705	TU0-8325	TU0-8325	EG12116-MONOMER // PHOSPHO-OMPR	b0464
G6396	PM0-46235	TU0-13041	TU0-13041	PD04418 // PD00406 // PD00365 // PD00353	b0762
EG11448	PM0-46541 // PM0-3923 // PM0-3921	TU0-45241 // TU0-3723 // TU0-3721	TU0-45241 // TU0-3723 // TU0-3721	CPLX0-226 // CPLX0-7705 // PC00027 // PD04418	b4069
EG11942	PM0-10473	TU0-45241 // TU0-14786 // TU0-3723 // TU0-3721	TU0-45241 // TU0-14786 // TU0-3723 // TU0-3721	CPLX0-226 // CPLX0-7705 // PC00027 // PD04418	b4067
G7484		TU0-13771	TU0-13771		b2865
EG10029	PM0-46549 // PM00101	TU0-45248 // TU00072	TU0-45248 // TU00072	PD00230	b2213
EG10030	PM0-45010	TU0-13350	TU0-13350	MONOMER-60	b1623
EG11692	PM0-36195	TU0-8765	TU0-8765	PD00288	b3665
EG11724		TU0-8601	TU0-8601		b3714
EG11691		TU0-14012	TU0-14012		b3664
EG10031	PM0-46478 // PM646 // PM00279	TU0-45181 // TU546 // TU00198	TU0-45181 // TU546 // TU00198	PC00061 // PHOSPHO-NARL // CPLX0-7705 // PD00353 // CPLX0-7797	b1241
G6775		TU0-13286	TU0-13286		b1478
EG11501	PM981	TU00235	TU00235	PD00288 // EG11966-MONOMER // PC00027 // PHOSPHO-TORR	b4117
EG12462	PM0-46012	TU0-14134	TU0-14134	PHOSPHO-PHOB // CPLX0-7852 // PHOSPHO-TORR // PD00288	b4115
EG11966	PM982	TU821	TU821	PD00288	b4116
EG10032	PM00342	TU0-6481	TU0-6481		b0474
EG12409		TU0-13640	TU0-13640	CPLX0-226	b2468
