cell_angle	gene_angle	expression
-3.1108716	-3.1141748	-0.74677193
-3.1108716	-3.0425024	-0.6985227
-3.1108716	-2.9859805	-0.65879756
-3.1108716	-2.9254093	-0.6602427
-3.1108716	-2.8621008	-0.6722288
-3.1108716	-2.793789	-0.60067457
-3.1108716	-2.7288628	-0.55616647
-3.1108716	-2.6726892	-0.5046738
-3.1108716	-2.6110296	-0.5265683
-3.1108716	-2.5438232	-0.4579795
-3.1108716	-2.481728	-0.43892017
-3.1108716	-2.4194777	-0.59788567
-3.1108716	-2.356198	-0.33283246
-3.1108716	-2.2991128	-0.37401846
-3.1108716	-2.2237759	-0.29195
-3.1108716	-2.1641412	-0.33861768
-3.1108716	-2.106731	-0.23049828
-3.1108716	-2.0381565	-0.19031604
-3.1108716	-1.9820864	-0.2473181
-3.1108716	-1.9139458	-0.14822854
-3.1108716	-1.845742	-0.1895438
-3.1108716	-1.7929845	-0.06825624
-3.1108716	-1.7332125	-0.13162059
-3.1108716	-1.664613	-0.016707286
-3.1108716	-1.6004579	-0.13282436
-3.1108716	-1.5372016	-0.06261392
-3.1108716	-1.4737895	-0.02832199
-3.1108716	-1.4143283	0.052917097
-3.1108716	-1.3504637	0.0777801
-3.1108716	-1.286574	0.19526199
-3.1108716	-1.2294288	0.061886635
-3.1108716	-1.1617773	0.23104
-3.1108716	-1.0991879	0.16367124
-3.1108716	-1.0390701	0.18380289
-3.1108716	-0.9705756	0.19411719
-3.1108716	-0.91467595	0.36180535
-3.1108716	-0.84836125	0.29122528
-3.1108716	-0.78868604	0.28954008
-3.1108716	-0.72499704	0.2734645
-3.1108716	-0.6600969	0.30179554
-3.1108716	-0.5979724	0.33803692
-3.1108716	-0.53507614	0.5076861
-3.1108716	-0.4735973	0.34938508
-3.1108716	-0.40828252	0.39811262
-3.1108716	-0.34730387	0.42076635
-3.1108716	-0.27862787	0.45539126
-3.1108716	-0.22182775	0.43254185
-3.1108716	-0.15465188	0.42093828
-3.1108716	-0.09927273	0.44303107
-3.1108716	-0.0318861	0.47097662
-3.1108716	0.02799201	0.4050332
-3.1108716	0.09671569	0.4697886
-3.1108716	0.15451312	0.56957215
-3.1108716	0.22351313	0.47559857
-3.1108716	0.2789104	0.3800019
-3.1108716	0.34950876	0.4948083
-3.1108716	0.40378928	0.42797202
-3.1108716	0.47168756	0.5279114
-3.1108716	0.53422713	0.43472296
-3.1108716	0.5965102	0.2851724
-3.1108716	0.6614096	0.27544028
-3.1108716	0.7270498	0.3132133
-3.1108716	0.7836554	0.18485343
-3.1108716	0.8474586	0.20502697
-3.1108716	0.90598845	0.114171214
-3.1108716	0.9720614	0.18431805
-3.1108716	1.0351379	0.037725233
-3.1108716	1.0968478	0.07889175
-3.1108716	1.1600502	0.037508197
-3.1108716	1.2241919	-0.0728797
-3.1108716	1.2835739	-0.0016178916
-3.1108716	1.3472459	-0.18427266
-3.1108716	1.4118669	-0.20484832
-3.1108716	1.4748223	-0.2744979
-3.1108716	1.5360754	-0.30485752
-3.1108716	1.5980599	-0.37877846
-3.1108716	1.6663907	-0.53289706
-3.1108716	1.7288101	-0.5296598
-3.1108716	1.798456	-0.46021703
-3.1108716	1.8512938	-0.5809064
-3.1108716	1.9171097	-0.56436366
-3.1108716	1.9766657	-0.47764525
-3.1108716	2.0407388	-0.6117518
-3.1108716	2.1054275	-0.739853
-3.1108716	2.1720955	-0.8111132
-3.1108716	2.2325804	-0.71072584
-3.1108716	2.2924125	-0.7157438
-3.1108716	2.3573797	-0.82595706
-3.1108716	2.412255	-0.79497933
-3.1108716	2.479071	-0.8074556
-3.1108716	2.5419009	-0.8678352
-3.1108716	2.6124566	-0.6697757
-3.1108716	2.669185	-0.8395203
-3.1108716	2.7308786	-0.88084275
-3.1108716	2.7952273	-0.7990469
-3.1108716	2.857693	-0.7845131
-3.1108716	2.9268115	-0.88261336
-3.1108716	2.9810236	-0.9245756
-3.1108716	3.047355	-0.8974465
-3.1108716	3.1033409	-0.74128455
-3.0480218	-3.1141748	-0.76563275
-3.0480218	-3.0425024	-0.70841795
-3.0480218	-2.9859805	-0.6775384
-3.0480218	-2.9254093	-0.6800599
-3.0480218	-2.8621008	-0.6934749
-3.0480218	-2.793789	-0.63702285
-3.0480218	-2.7288628	-0.5428911
-3.0480218	-2.6726892	-0.50248885
-3.0480218	-2.6110296	-0.5375354
-3.0480218	-2.5438232	-0.4627172
-3.0480218	-2.481728	-0.43767598
-3.0480218	-2.4194777	-0.61439085
-3.0480218	-2.356198	-0.34907433
-3.0480218	-2.2991128	-0.39521378
-3.0480218	-2.2237759	-0.30867624
-3.0480218	-2.1641412	-0.35973766
-3.0480218	-2.106731	-0.23657945
-3.0480218	-2.0381565	-0.19099349
-3.0480218	-1.9820864	-0.26279047
-3.0480218	-1.9139458	-0.16347672
-3.0480218	-1.845742	-0.19937804
-3.0480218	-1.7929845	-0.08877603
-3.0480218	-1.7332125	-0.13752241
-3.0480218	-1.664613	-0.03531189
-3.0480218	-1.6004579	-0.14226675
-3.0480218	-1.5372016	-0.0966663
-3.0480218	-1.4737895	-0.041021235
-3.0480218	-1.4143283	0.013746904
-3.0480218	-1.3504637	0.07472656
-3.0480218	-1.286574	0.14929563
-3.0480218	-1.2294288	0.054583177
-3.0480218	-1.1617773	0.23370081
-3.0480218	-1.0991879	0.13715233
-3.0480218	-1.0390701	0.17472847
-3.0480218	-0.9705756	0.164156
-3.0480218	-0.91467595	0.3638821
-3.0480218	-0.84836125	0.27384827
-3.0480218	-0.78868604	0.27626553
-3.0480218	-0.72499704	0.28228176
-3.0480218	-0.6600969	0.28157127
-3.0480218	-0.5979724	0.31784782
-3.0480218	-0.53507614	0.46427965
-3.0480218	-0.4735973	0.33407325
-3.0480218	-0.40828252	0.37401924
-3.0480218	-0.34730387	0.39166787
-3.0480218	-0.27862787	0.46215314
-3.0480218	-0.22182775	0.41527978
-3.0480218	-0.15465188	0.4107311
-3.0480218	-0.09927273	0.4149796
-3.0480218	-0.0318861	0.46798572
-3.0480218	0.02799201	0.41183442
-3.0480218	0.09671569	0.48237094
-3.0480218	0.15451312	0.6103639
-3.0480218	0.22351313	0.4894206
-3.0480218	0.2789104	0.37357548
-3.0480218	0.34950876	0.49527827
-3.0480218	0.40378928	0.43800205
-3.0480218	0.47168756	0.57609665
-3.0480218	0.53422713	0.45227093
-3.0480218	0.5965102	0.30102584
-3.0480218	0.6614096	0.30690148
-3.0480218	0.7270498	0.3328285
-3.0480218	0.7836554	0.22448899
-3.0480218	0.8474586	0.253274
-3.0480218	0.90598845	0.1629821
-3.0480218	0.9720614	0.25040463
-3.0480218	1.0351379	0.12169425
-3.0480218	1.0968478	0.12815247
-3.0480218	1.1600502	0.10261047
-3.0480218	1.2241919	-0.00412917
-3.0480218	1.2835739	0.06278809
-3.0480218	1.3472459	-0.11177868
-3.0480218	1.4118669	-0.12996444
-3.0480218	1.4748223	-0.20623074
-3.0480218	1.5360754	-0.21177995
-3.0480218	1.5980599	-0.32653463
-3.0480218	1.6663907	-0.4842154
-3.0480218	1.7288101	-0.46885547
-3.0480218	1.798456	-0.3763796
-3.0480218	1.8512938	-0.5065032
-3.0480218	1.9171097	-0.52940154
-3.0480218	1.9766657	-0.43029752
-3.0480218	2.0407388	-0.6130483
-3.0480218	2.1054275	-0.6973541
-3.0480218	2.1720955	-0.74279654
-3.0480218	2.2325804	-0.70721096
-3.0480218	2.2924125	-0.6974579
-3.0480218	2.3573797	-0.7904214
-3.0480218	2.412255	-0.75398654
-3.0480218	2.479071	-0.7741186
-3.0480218	2.5419009	-0.88329697
-3.0480218	2.6124566	-0.6347799
-3.0480218	2.669185	-0.83243465
-3.0480218	2.7308786	-0.863384
-3.0480218	2.7952273	-0.78973085
-3.0480218	2.857693	-0.7872004
-3.0480218	2.9268115	-0.8774534
-3.0480218	2.9810236	-0.9366266
-3.0480218	3.047355	-0.9199647
-3.0480218	3.1033409	-0.72139376
-2.9837286	-3.1141748	-0.7300132
-2.9837286	-3.0425024	-0.679353
-2.9837286	-2.9859805	-0.66879094
-2.9837286	-2.9254093	-0.6716805
-2.9837286	-2.8621008	-0.68524647
-2.9837286	-2.793789	-0.6559095
-2.9837286	-2.7288628	-0.55214
-2.9837286	-2.6726892	-0.5030284
-2.9837286	-2.6110296	-0.51995134
-2.9837286	-2.5438232	-0.4861712
-2.9837286	-2.481728	-0.44345897
-2.9837286	-2.4194777	-0.63195777
-2.9837286	-2.356198	-0.36345226
-2.9837286	-2.2991128	-0.39830685
-2.9837286	-2.2237759	-0.28961188
-2.9837286	-2.1641412	-0.36857727
-2.9837286	-2.106731	-0.24539627
-2.9837286	-2.0381565	-0.20220365
-2.9837286	-1.9820864	-0.25304487
-2.9837286	-1.9139458	-0.17672761
-2.9837286	-1.845742	-0.21357077
-2.9837286	-1.7929845	-0.09540225
-2.9837286	-1.7332125	-0.15977785
-2.9837286	-1.664613	-0.038693335
-2.9837286	-1.6004579	-0.12687899
-2.9837286	-1.5372016	-0.11080954
-2.9837286	-1.4737895	-0.053222936
-2.9837286	-1.4143283	0.04448059
-2.9837286	-1.3504637	0.05461966
-2.9837286	-1.286574	0.14921226
-2.9837286	-1.2294288	0.047484
-2.9837286	-1.1617773	0.20793822
-2.9837286	-1.0991879	0.13237385
-2.9837286	-1.0390701	0.15278782
-2.9837286	-0.9705756	0.16809994
-2.9837286	-0.91467595	0.3499135
-2.9837286	-0.84836125	0.27563658
-2.9837286	-0.78868604	0.25538978
-2.9837286	-0.72499704	0.2740089
-2.9837286	-0.6600969	0.25425458
-2.9837286	-0.5979724	0.305117
-2.9837286	-0.53507614	0.46605033
-2.9837286	-0.4735973	0.35356277
-2.9837286	-0.40828252	0.40795016
-2.9837286	-0.34730387	0.4262577
-2.9837286	-0.27862787	0.4634339
-2.9837286	-0.22182775	0.42414737
-2.9837286	-0.15465188	0.41847682
-2.9837286	-0.09927273	0.4523182
-2.9837286	-0.0318861	0.5135447
-2.9837286	0.02799201	0.4556526
-2.9837286	0.09671569	0.4934839
-2.9837286	0.15451312	0.5863784
-2.9837286	0.22351313	0.50675553
-2.9837286	0.2789104	0.40816864
-2.9837286	0.34950876	0.53605866
-2.9837286	0.40378928	0.49365515
-2.9837286	0.47168756	0.6184072
-2.9837286	0.53422713	0.48843297
-2.9837286	0.5965102	0.35827893
-2.9837286	0.6614096	0.34832984
-2.9837286	0.7270498	0.40728724
-2.9837286	0.7836554	0.313873
-2.9837286	0.8474586	0.30497134
-2.9837286	0.90598845	0.2182362
-2.9837286	0.9720614	0.31921658
-2.9837286	1.0351379	0.17018488
-2.9837286	1.0968478	0.18970415
-2.9837286	1.1600502	0.20095672
-2.9837286	1.2241919	0.07454497
-2.9837286	1.2835739	0.13236684
-2.9837286	1.3472459	0.008048972
-2.9837286	1.4118669	-0.06725248
-2.9837286	1.4748223	-0.088619046
-2.9837286	1.5360754	-0.10078666
-2.9837286	1.5980599	-0.21807913
-2.9837286	1.6663907	-0.38514188
-2.9837286	1.7288101	-0.3728322
-2.9837286	1.798456	-0.3257935
-2.9837286	1.8512938	-0.4020624
-2.9837286	1.9171097	-0.43070924
-2.9837286	1.9766657	-0.3269129
-2.9837286	2.0407388	-0.49174988
-2.9837286	2.1054275	-0.6158519
-2.9837286	2.1720955	-0.6365379
-2.9837286	2.2325804	-0.63305694
-2.9837286	2.2924125	-0.62216365
-2.9837286	2.3573797	-0.72221607
-2.9837286	2.412255	-0.6954684
-2.9837286	2.479071	-0.7142224
-2.9837286	2.5419009	-0.80414784
-2.9837286	2.6124566	-0.5643288
-2.9837286	2.669185	-0.7983254
-2.9837286	2.7308786	-0.81931204
-2.9837286	2.7952273	-0.7312257
-2.9837286	2.857693	-0.7208889
-2.9837286	2.9268115	-0.83580554
-2.9837286	2.9810236	-0.90058064
-2.9837286	3.047355	-0.90476227
-2.9837286	3.1033409	-0.682356
-2.9217877	-3.1141748	-0.71488017
-2.9217877	-3.0425024	-0.67539626
-2.9217877	-2.9859805	-0.64812005
