Cell Barcode	cell_angle
D1_lib8_bc1_10_bc2_10_bc3_67	242.53912
D1_lib8_bc1_10_bc2_10_bc3_74	41.01396
D1_lib8_bc1_10_bc2_11_bc3_12	310.90433
D1_lib8_bc1_10_bc2_11_bc3_34	1.3994751
D1_lib8_bc1_10_bc2_12_bc3_46	264.44006
D1_lib8_bc1_10_bc2_12_bc3_73	280.54172
D1_lib8_bc1_10_bc2_14_bc3_23	211.35747
D1_lib8_bc1_10_bc2_14_bc3_64	220.9542
D1_lib8_bc1_10_bc2_15_bc3_6	33.25505
D1_lib8_bc1_10_bc2_17_bc3_19	279.27417
D1_lib8_bc1_10_bc2_18_bc3_28	78.587395
D1_lib8_bc1_10_bc2_19_bc3_69	112.91593
D1_lib8_bc1_10_bc2_20_bc3_79	238.39685
D1_lib8_bc1_10_bc2_21_bc3_44	299.56363
D1_lib8_bc1_10_bc2_21_bc3_70	338.41925
D1_lib8_bc1_10_bc2_21_bc3_77	158.96399
D1_lib8_bc1_10_bc2_22_bc3_14	17.233612
D1_lib8_bc1_10_bc2_23_bc3_11	40.98192
D1_lib8_bc1_10_bc2_23_bc3_4	19.605392
D1_lib8_bc1_10_bc2_23_bc3_41	143.6828
D1_lib8_bc1_10_bc2_24_bc3_29	144.97438
D1_lib8_bc1_10_bc2_24_bc3_4	317.1714
D1_lib8_bc1_10_bc2_24_bc3_6	312.76404
D1_lib8_bc1_10_bc2_24_bc3_67	57.59063
D1_lib8_bc1_10_bc2_24_bc3_80	19.216263
D1_lib8_bc1_10_bc2_26_bc3_40	142.26405
D1_lib8_bc1_10_bc2_27_bc3_48	328.47186
D1_lib8_bc1_10_bc2_27_bc3_68	56.558403
D1_lib8_bc1_10_bc2_28_bc3_45	296.90518
D1_lib8_bc1_10_bc2_28_bc3_80	68.118965
D1_lib8_bc1_10_bc2_28_bc3_85	188.94704
D1_lib8_bc1_10_bc2_29_bc3_19	13.879471
D1_lib8_bc1_10_bc2_30_bc3_3	6.985092
D1_lib8_bc1_10_bc2_32_bc3_62	167.59496
D1_lib8_bc1_10_bc2_32_bc3_64	58.96321
D1_lib8_bc1_10_bc2_33_bc3_22	108.595985
D1_lib8_bc1_10_bc2_34_bc3_16	117.978355
D1_lib8_bc1_10_bc2_34_bc3_78	123.37358
D1_lib8_bc1_10_bc2_35_bc3_81	194.20831
D1_lib8_bc1_10_bc2_36_bc3_18	309.21295
D1_lib8_bc1_10_bc2_36_bc3_63	0.15596008
D1_lib8_bc1_10_bc2_36_bc3_73	194.8707
D1_lib8_bc1_10_bc2_37_bc3_68	165.84967
D1_lib8_bc1_10_bc2_39_bc3_51	255.90924
D1_lib8_bc1_10_bc2_3_bc3_25	261.20917
D1_lib8_bc1_10_bc2_3_bc3_38	204.11389
D1_lib8_bc1_10_bc2_3_bc3_42	112.0281
D1_lib8_bc1_10_bc2_3_bc3_58	187.20859
D1_lib8_bc1_10_bc2_40_bc3_18	244.95317
D1_lib8_bc1_10_bc2_40_bc3_77	270.48505
D1_lib8_bc1_10_bc2_40_bc3_90	317.0209
D1_lib8_bc1_10_bc2_41_bc3_21	81.15208
D1_lib8_bc1_10_bc2_41_bc3_36	43.09027
D1_lib8_bc1_10_bc2_42_bc3_40	260.39618
D1_lib8_bc1_10_bc2_42_bc3_74	189.58978
D1_lib8_bc1_10_bc2_44_bc3_19	117.21706
D1_lib8_bc1_10_bc2_44_bc3_81	257.46957
D1_lib8_bc1_10_bc2_45_bc3_28	302.5075
D1_lib8_bc1_10_bc2_46_bc3_40	285.57898
D1_lib8_bc1_10_bc2_46_bc3_42	334.0652
D1_lib8_bc1_10_bc2_47_bc3_76	302.35104
D1_lib8_bc1_10_bc2_48_bc3_19	110.424965
D1_lib8_bc1_10_bc2_49_bc3_47	21.921204
D1_lib8_bc1_10_bc2_49_bc3_72	61.824738
D1_lib8_bc1_10_bc2_4_bc3_18	22.2984
D1_lib8_bc1_10_bc2_4_bc3_53	174.31085
D1_lib8_bc1_10_bc2_4_bc3_65	319.32126
D1_lib8_bc1_10_bc2_50_bc3_32	6.22493
