	gene_angle	correction_std	highly_variable	cycle_variable
b3742	95.422455	0.711739717859095	True	True
b3743	301.6125	0.8497618606041544	False	False
b3744	334.1086	0.4877032389666617	False	False
b3745	29.710205	0.37175479032424447	False	False
b3746	24.799927	0.37112869549224814	True	False
b3747	6.4290466	0.4051546324414219	False	False
b3748	19.374084	0.46195324364311163	True	False
b3749	13.087036	0.47544064207447767	True	False
b3750	7.072296	0.4327688725461909	True	False
b3751	48.71295	0.28422429861192383	True	False
b3752	29.23233	0.2793428642299862	True	False
b3753	30.152527	0.22150513843421002	True	False
b3754	41.967224	0.23465820338147653	False	False
b3755	331.68457	0.6008765177864376	False	False
b3760	74.49808	0.4162952991976081	False	False
b3761	48.81134	0.18805011665169685	False	False
b4480	346.93457	0.4078623332556492	False	False
b3764	2.906128	0.34150977967419005	False	False
b3765	46.423187	0.21964713197296226	False	False
b4669	80.68863	0.43992091257212285	False	False
b3769	53.384064	0.37116206513191646	False	False
b3770	93.06009	0.5709576093556724	False	False
b3771	106.82123	0.5050453908487295	False	False
b3772	79.75574	0.48813628819631044	True	False
b3773	276.78955	0.7311497552834804	False	False
b3774	22.347717	0.29303375948588956	False	False
b3775	16.89325	0.3832502117440936	True	False
b3778	11.175171	0.42099659900826086	False	False
b3779	43.78125	0.2461626763113718	True	False
b3780	41.03015	0.2877055996421772	False	False
b3781	358.76965	0.36704643508769247	False	False
b3782	14.537323	0.32230013605623165	False	False
b3783	31.943909	0.20118264908456665	True	False
b3784	24.133911	0.3423582308529991	True	False
b3785	46.65869	0.2890644735149449	True	False
b3786	57.554077	0.3023141612496152	False	False
b3787	63.31018	0.3325616700635359	True	False
b3788	76.34558	0.39055751402515004	True	False
b3789	78.9046	0.38158261022246287	True	False
b3790	83.17282	0.37815599277806666	True	False
b3791	96.795105	0.603675868706822	True	True
b3792	99.09143	0.5678675715200683	True	True
b4481	96.19632	0.6061076367951155	True	True
b3793	114.47421	0.704866817796883	True	True
b3794	112.4738	0.6538648476663909	True	True
b3795	110.18031	0.5318288800657145	False	False
b3796	29.510925	0.321529213258367	False	False
b3797	352.0193	0.4281364722858961	False	False
b3798	91.552155	0.4506084778899992	False	False
b3799	286.0201	0.6635585808547084	False	False
b3800	21.092346	0.4105957487173321	False	False
b4456	82.92261	0.5375470279971921	False	False
b3802	39.874695	0.34148213134152955	True	False
b3803	39.386475	0.38797396579459803	True	False
b3804	29.72522	0.28329851203797507	False	False
b3805	57.070435	0.2708553091330237	False	False
b3806	54.53659	0.3233113271237237	False	False
b3808	338.42923	0.5681745476989951	False	False
b3807	87.08789	0.4903589936737578	False	False
b4558	12.947998	0.3702195214769794	False	False
b3809	40.112915	0.33698551468402266	False	False
b3810	36.983765	0.2421384750473782	True	False
b3811	52.724487	0.2751260010653349	True	False
b3812	85.298004	0.33414586550789027	True	False
b3813	42.165833	0.3245341933813074	False	False
b4799	80.95465	0.39958907686037787	False	False
b3816	21.350555	0.31779000469832247	False	False
b3817	14.885925	0.4398302252983254	False	False
b3818	35.381866	0.37986217158905095	False	False
b3819	47.05484	0.359221269743735	False	False
b3820	37.44232	0.35887155295668177	True	False
b3821	45.97119	0.30750393527677883	False	False
b3822	50.247437	0.2792221142646009	False	False
b3823	27.948975	0.3646328285686233	False	False
b3824	261.11667	0.8588542892569363	False	False
b3825	6.816345	0.5331309615663733	False	False
b3826	355.13794	0.5292622182499734	False	False
b3827	33.314087	0.2751787497190151	False	False
b3828	133.12215	0.44287102747081586	False	False
b3829	26.767029	0.439488643110721	False	False
b3830	177.5067	0.6873606568238755	False	False
b3831	72.937195	0.2036252546788424	False	False
b3832	2.0950928	0.5051161971170706	False	False
b3833	8.320709	0.4523240724135254	False	False
b3834	73.940155	0.5363375877088749	False	False
b3835	63.44687	0.26204131795924485	False	False
b3836	56.45764	0.31945954468511983	True	False
b3838	48.06549	0.3148561086040422	False	False
b3839	48.481934	0.31464355361939733	False	False
b4483	71.52634	0.29829983269612537	False	False
b3842	331.48755	0.701561825567859	False	False
b3843	29.752655	0.4474889012697944	True	False
b3844	44.658752	0.2803760633572895	False	False
b3845	31.277466	0.32361921490561396	False	False
b3846	97.17117	0.3450382937297688	False	False
b3847	60.33548	0.33210610303035	False	False
b3848	37.848663	0.4527977013703029	False	False
b3849	53.721436	0.3686221589173174	False	False
b3850	70.776886	0.14477120761947954	False	False
b3856	14.691895	0.4112597541304217	False	False
b3857	58.007996	0.32859389273947537	False	False
b3858	25.821228	0.4648012828300396	False	False
b3859	68.114044	0.27016964643896235	False	False
b3860	69.247986	0.28168331942282815	False	False
b3861	70.49271	0.2620169056148775	False	False
b3862	72.7879	0.36050965543630153	False	False
b3863	92.95755	0.3274205075615214	False	False
b3864	30.912292	0.40616551520184263	False	False
b3865	25.907043	0.4068853582937117	False	False
b4457	83.87378	0.5088174201181282	False	False
b3866	68.22974	0.2144178145090228	False	False
b3867	67.493744	0.23816432582708705	False	False
b3868	73.80615	0.3019557334159385	False	False
b3869	90.41431	0.2747342090687578	False	False
b3870	19.83609	0.4180494014204828	False	False
b3871	94.967285	0.29641830184571977	False	False
b3872	13.944275	0.6300806192422357	True	True
b3873	46.676086	0.47858135376539346	True	False
