	N	D	A
0	3070	-3.1399804530842723	-1.4761561
1	3070	-3.1384968495964047	2.1225398
2	3070	-3.138085339139916	2.6897032
3	3070	-3.131457854945937	-2.623052
4	3070	-3.1274239695500916	-2.7087524
5	3070	-3.126820240393532	-3.0293841
6	3070	-3.1213108734267236	-2.803451
7	3070	-3.120154853920666	-2.9131804
8	3070	-3.116066822412125	-3.0181572
9	3070	-3.1133865898336777	-2.291391
10	3070	-3.1106359673087254	-2.6313918
11	3070	-3.1081100511514617	-2.615332
12	3070	-3.1016531272124745	-2.4091265
13	3070	-3.099717403683596	2.6473954
14	3070	-3.0847053939386555	-1.8413554
15	3070	-3.084475272959698	-2.289673
16	3070	-3.0817408942685547	2.9135578
17	3070	-3.081418724898014	-3.0908706
18	3070	-3.076320868387694	-2.3313546
19	3070	-3.0748643379561744	-1.73331
20	3070	-3.070278162210831	-2.2098644
21	3070	-3.069511994716184	-1.5173873
22	3070	-3.0668209329151974	-1.2772104
23	3070	-3.0618042955739213	-1.749592
24	3070	-3.055065811848916	1.6892965
25	3070	-3.0546597160036963	-2.7515504
26	3070	-3.0496701517187685	-2.8467498
27	3070	-3.0473310396503055	-2.9465492
28	3070	-3.0377146900355125	-2.3774657
29	3070	-3.033921754841164	-2.4254816
30	3070	-3.033567097803006	3.1201193
31	3070	-3.032294664154652	-2.887868
32	3070	-3.03179110530658	-2.5840664
33	3070	-3.0277328541600217	-2.7203765
34	3070	-3.024714208377225	-2.3272438
35	3070	-3.0217307575676804	-2.1370845
36	3070	-3.018679624117266	-2.036621
37	3070	-3.0152630044061546	-1.8091104
38	3070	-3.012322870486767	-1.7644465
39	3070	-3.0099972949464773	-1.6899526
40	3070	-3.0081590344204514	-1.452199
41	3070	-3.005094364441863	-1.4121209
42	3070	-3.001718354315273	-1.4626497
43	3070	-2.9988052934522336	-1.1436403
44	3070	-2.9951368943170857	-1.1785543
45	3070	-2.992616392771091	-1.2185826
46	3070	-2.988587921986516	-2.62653
47	3070	-2.9882251430314533	3.002303
48	3070	-2.987962534384878	-1.543706
49	3070	-2.9876132919579894	1.8504007
50	3070	-2.98700956280143	-2.7734618
51	3070	-2.9776043830261507	-1.6943314
52	3070	-2.973678789855698	-2.4456475
53	3070	-2.9704733399840997	-2.454169
54	3070	-2.9684103730903857	-2.6227899
55	3070	-2.9658709204049476	-2.1455252
56	3070	-2.964823193124282	-2.1897492
57	3070	-2.957521589827239	2.7651117
58	3070	-2.956955762949567	-1.6216222
59	3070	-2.9557022804406565	-2.9156075
60	3070	-2.9550525270883057	-2.4414892
61	3070	-2.9528298291621384	-2.4961042
62	3070	-2.9509238859952425	-2.221377
63	3070	-2.948498140146466	-1.6528612
64	3070	-2.9463322956386295	-2.4056592
65	3070	-2.937574161910067	-1.7286669
66	3070	-2.937011042338029	-2.7689548
67	3070	-2.933293911701455	-2.8817844
68	3070	-2.932227233281346	-2.5240622
69	3070	-2.9295605372310725	-2.3203304
70	3070	-2.9281554456066137	-2.488101
71	3070	-2.927708740176872	-2.3392441
72	3070	-2.9249960199308074	-2.2646096
73	3070	-2.91987109036414	-2.653791
74	3070	-2.916346178427636	1.4157536
75	3070	-2.916045667502174	-3.022625
76	3070	-2.9132571426983347	3.0567334
77	3070	-2.9108855429622538	-2.5601516
78	3070	-2.90617483115771	-0.8181722
79	3070	-2.9055331997222638	-2.6744194
80	3070	-2.897097235364241	-0.04351592
81	3070	-2.896387921287925	-1.8685985
82	3070	-2.8939459316053395	-3.1050265
83	3070	-2.8898254124291807	-2.9963684
84	3070	-2.887743494396023	-1.851093
85	3070	-2.8861136964038763	-2.0342355
86	3070	-2.8814598380176633	-2.156221
87	3070	-2.880720743579364	-2.3026917
88	3070	-2.87931835926054	-2.2954235
89	3070	-2.8771037832512776	-1.8932221
90	3070	-2.873673627011992	2.6439574
91	3070	-2.8732215069709808	-2.6223104
92	3070	-2.869054963599031	-2.36215
93	3070	-2.8629770624489153	-2.5956979
94	3070	-2.857023697358	-1.4456353
95	3070	-2.856509309287389	-2.0885394
96	3070	-2.8529058854874765	-2.4810085
97	3070	-2.851138014907955	-2.2039766
98	3070	-2.8471772267642494	-1.9063025
99	3070	-2.828699865806771	-2.885171
100	3070	-2.827167530817477	-2.1291623
101	3070	-2.8269780194230414	-2.6909273
102	3070	-2.826041291673402	-1.9527779
103	3070	-2.8233258641217023	-1.9329867
104	3070	-2.821211458420927	-1.9112624
105	3070	-2.814705802980514	-1.8712041
