Cell Barcode	UMAP-1	UMAP-2
D1_lib8_bc1_10_bc2_10_bc3_67	5.9993405	3.117855
D1_lib8_bc1_10_bc2_10_bc3_74	-4.40113	-5.0604286
D1_lib8_bc1_10_bc2_11_bc3_12	5.362617	-4.645955
D1_lib8_bc1_10_bc2_11_bc3_34	-0.16508341	-6.757324
D1_lib8_bc1_10_bc2_12_bc3_46	6.5993724	0.6424155
D1_lib8_bc1_10_bc2_12_bc3_73	6.6916175	-1.2452593
D1_lib8_bc1_10_bc2_14_bc3_23	2.9249835	4.7999
D1_lib8_bc1_10_bc2_14_bc3_64	4.266992	4.916545
D1_lib8_bc1_10_bc2_15_bc3_6	-2.8680243	-4.3736234
D1_lib8_bc1_10_bc2_17_bc3_19	6.6447873	-1.0850511
D1_lib8_bc1_10_bc2_18_bc3_28	-6.5147543	-1.3150969
D1_lib8_bc1_10_bc2_19_bc3_69	-5.7668595	2.4379063
D1_lib8_bc1_10_bc2_20_bc3_79	5.4356313	3.3444347
D1_lib8_bc1_10_bc2_21_bc3_44	6.1608186	-3.4946618
D1_lib8_bc1_10_bc2_21_bc3_70	2.6857877	-6.790183
D1_lib8_bc1_10_bc2_21_bc3_77	-1.743767	4.5341473
D1_lib8_bc1_10_bc2_22_bc3_14	-2.0816376	-6.7107425
D1_lib8_bc1_10_bc2_23_bc3_11	-3.0802462	-3.5456762
D1_lib8_bc1_10_bc2_23_bc3_4	-2.3160295	-6.5022273
D1_lib8_bc1_10_bc2_23_bc3_41	-4.046382	5.505018
D1_lib8_bc1_10_bc2_24_bc3_29	-3.3778617	4.819498
D1_lib8_bc1_10_bc2_24_bc3_4	4.956412	-5.347081
D1_lib8_bc1_10_bc2_24_bc3_6	5.286328	-4.889034
D1_lib8_bc1_10_bc2_24_bc3_67	-3.44872	-2.1894147
D1_lib8_bc1_10_bc2_24_bc3_80	-2.2721815	-6.518856
D1_lib8_bc1_10_bc2_26_bc3_40	-1.1928749	1.5414
D1_lib8_bc1_10_bc2_27_bc3_48	3.6629167	-5.970756
D1_lib8_bc1_10_bc2_27_bc3_68	-3.3427665	-2.2076318
D1_lib8_bc1_10_bc2_28_bc3_45	3.441625	-1.7464266
D1_lib8_bc1_10_bc2_28_bc3_80	-6.1144156	-2.4556282
D1_lib8_bc1_10_bc2_28_bc3_85	1.1233106	7.134981
D1_lib8_bc1_10_bc2_29_bc3_19	-1.7143219	-6.93791
D1_lib8_bc1_10_bc2_30_bc3_3	-0.8541994	-6.9718895
D1_lib8_bc1_10_bc2_32_bc3_62	-1.5271337	6.942891
D1_lib8_bc1_10_bc2_32_bc3_64	-3.8812678	-2.3354933
D1_lib8_bc1_10_bc2_33_bc3_22	-6.324081	2.1277952
D1_lib8_bc1_10_bc2_34_bc3_16	-6.056745	3.217494
D1_lib8_bc1_10_bc2_34_bc3_78	-4.212608	2.7749176
D1_lib8_bc1_10_bc2_35_bc3_81	1.3178339	5.20485
D1_lib8_bc1_10_bc2_36_bc3_18	5.8390822	-4.764437
D1_lib8_bc1_10_bc2_36_bc3_63	-0.019646645	-7.217997
D1_lib8_bc1_10_bc2_36_bc3_73	1.7871962	6.730624
D1_lib8_bc1_10_bc2_37_bc3_68	-1.4275732	5.6623516
D1_lib8_bc1_10_bc2_39_bc3_51	6.8987355	1.7316599
D1_lib8_bc1_10_bc2_3_bc3_25	5.5032096	0.85104036
D1_lib8_bc1_10_bc2_3_bc3_38	2.9616008	6.61644
D1_lib8_bc1_10_bc2_3_bc3_42	-6.2010074	2.5089083
D1_lib8_bc1_10_bc2_3_bc3_58	0.88855076	7.0251427
D1_lib8_bc1_10_bc2_40_bc3_18	6.458304	3.0179853
D1_lib8_bc1_10_bc2_40_bc3_77	5.1744075	-0.043804646
D1_lib8_bc1_10_bc2_40_bc3_90	4.9189286	-5.2787642
D1_lib8_bc1_10_bc2_41_bc3_21	-6.183876	-0.9626117
D1_lib8_bc1_10_bc2_41_bc3_36	-4.4316545	-4.7373805
D1_lib8_bc1_10_bc2_42_bc3_40	6.9362483	1.1736565
D1_lib8_bc1_10_bc2_42_bc3_74	1.2166724	7.201207
D1_lib8_bc1_10_bc2_44_bc3_19	-6.31582	3.2482672
D1_lib8_bc1_10_bc2_44_bc3_81	6.634811	1.4745984
D1_lib8_bc1_10_bc2_45_bc3_28	6.1963525	-3.94865
D1_lib8_bc1_10_bc2_46_bc3_40	6.4802613	-1.8067563
D1_lib8_bc1_10_bc2_46_bc3_42	3.2686687	-6.7211657
D1_lib8_bc1_10_bc2_47_bc3_76	6.1199994	-3.8765397
D1_lib8_bc1_10_bc2_48_bc3_19	-6.596819	2.4566078
D1_lib8_bc1_10_bc2_49_bc3_47	-2.5120592	-6.2422695
D1_lib8_bc1_10_bc2_49_bc3_72	-3.562242	-1.9080782
D1_lib8_bc1_10_bc2_4_bc3_18	-2.6437185	-6.4465623
D1_lib8_bc1_10_bc2_4_bc3_53	-0.59144974	5.936943
D1_lib8_bc1_10_bc2_4_bc3_65	3.0470586	-3.5451918
D1_lib8_bc1_10_bc2_50_bc3_32	-0.79307175	-7.2708735
D1_lib8_bc1_10_bc2_51_bc3_25	3.961615	5.765476
D1_lib8_bc1_10_bc2_51_bc3_26	-2.4939702	2.2167292
D1_lib8_bc1_10_bc2_51_bc3_56	-4.4943075	-4.443905
D1_lib8_bc1_10_bc2_52_bc3_38	6.8471293	1.7209387
D1_lib8_bc1_10_bc2_52_bc3_42	-5.2245765	-3.494068
D1_lib8_bc1_10_bc2_52_bc3_89	3.884748	5.786319
D1_lib8_bc1_10_bc2_53_bc3_14	-2.4827275	5.13449
D1_lib8_bc1_10_bc2_53_bc3_91	0.5039396	7.040696
D1_lib8_bc1_10_bc2_54_bc3_30	-2.3964868	-6.6449056
D1_lib8_bc1_10_bc2_54_bc3_55	3.7627034	1.8173447
D1_lib8_bc1_10_bc2_55_bc3_14	-3.66015	5.7863417
D1_lib8_bc1_10_bc2_55_bc3_15	5.2170234	-4.1374006
D1_lib8_bc1_10_bc2_55_bc3_17	3.2607522	-6.693321
D1_lib8_bc1_10_bc2_55_bc3_20	-6.35679	1.6532931
D1_lib8_bc1_10_bc2_55_bc3_57	-5.4042945	3.2717218
D1_lib8_bc1_10_bc2_55_bc3_73	-1.0479984	-6.7970657
D1_lib8_bc1_10_bc2_56_bc3_46	-5.7927027	-2.9475088
D1_lib8_bc1_10_bc2_56_bc3_62	6.4619775	3.079193
D1_lib8_bc1_10_bc2_57_bc3_28	6.7551274	-1.5648575
D1_lib8_bc1_10_bc2_58_bc3_27	4.049726	2.554635
D1_lib8_bc1_10_bc2_58_bc3_58	3.4411893	-6.4146667
D1_lib8_bc1_10_bc2_59_bc3_44	-2.755698	2.982091
D1_lib8_bc1_10_bc2_5_bc3_36	-6.5492373	-1.305059
D1_lib8_bc1_10_bc2_5_bc3_49	-0.4144187	5.6060877
D1_lib8_bc1_10_bc2_60_bc3_21	1.1021395	-6.7383156
D1_lib8_bc1_10_bc2_60_bc3_71	-4.6295786	-4.7905517
D1_lib8_bc1_10_bc2_62_bc3_30	1.8723106	6.0365505
D1_lib8_bc1_10_bc2_62_bc3_76	5.933785	-4.427759
D1_lib8_bc1_10_bc2_62_bc3_90	-1.0100412	6.4019346
D1_lib8_bc1_10_bc2_64_bc3_64	3.1703858	3.2687416
D1_lib8_bc1_10_bc2_64_bc3_87	5.1551433	-4.912166
D1_lib8_bc1_10_bc2_65_bc3_39	-0.75303507	-3.1205726
D1_lib8_bc1_10_bc2_65_bc3_77	-3.5435395	3.1841993
D1_lib8_bc1_10_bc2_65_bc3_82	1.9299707	-7.1076956
D1_lib8_bc1_10_bc2_65_bc3_85	4.4931645	5.075116
D1_lib8_bc1_10_bc2_66_bc3_33	-5.63006	-3.8762884
D1_lib8_bc1_10_bc2_66_bc3_80	-4.984232	-4.1243043
D1_lib8_bc1_10_bc2_67_bc3_54	3.028397	5.6017323
D1_lib8_bc1_10_bc2_67_bc3_94	7.1100745	0.4623971
D1_lib8_bc1_10_bc2_68_bc3_21	3.475144	-0.34876823
D1_lib8_bc1_10_bc2_68_bc3_34	5.8298593	2.7619324
D1_lib8_bc1_10_bc2_68_bc3_82	-5.9133596	1.3413672
D1_lib8_bc1_10_bc2_69_bc3_3	0.5194597	7.1507626
D1_lib8_bc1_10_bc2_69_bc3_38	-3.9753642	2.1478353
D1_lib8_bc1_10_bc2_69_bc3_39	-2.8705003	3.6022968
D1_lib8_bc1_10_bc2_69_bc3_70	-2.5912714	-3.1675231
D1_lib8_bc1_10_bc2_6_bc3_22	-2.4745772	5.9586153
D1_lib8_bc1_10_bc2_6_bc3_79	4.7480836	-4.999167
D1_lib8_bc1_10_bc2_6_bc3_81	-6.423247	1.6711102
D1_lib8_bc1_10_bc2_70_bc3_38	0.4247713	6.553341
D1_lib8_bc1_10_bc2_70_bc3_57	1.376615	-7.065622
D1_lib8_bc1_10_bc2_70_bc3_75	-5.9162436	0.67656374
D1_lib8_bc1_10_bc2_70_bc3_76	0.05140686	-3.349709
D1_lib8_bc1_10_bc2_72_bc3_28	-4.609559	-1.102932
D1_lib8_bc1_10_bc2_72_bc3_60	-5.8601894	-2.9957807
D1_lib8_bc1_10_bc2_72_bc3_79	-2.5538032	-4.29992
D1_lib8_bc1_10_bc2_73_bc3_23	6.63977	-1.8974347
D1_lib8_bc1_10_bc2_73_bc3_52	4.4279227	4.2732153
D1_lib8_bc1_10_bc2_74_bc3_46	-6.287064	-1.2960362
D1_lib8_bc1_10_bc2_76_bc3_65	-5.999344	-1.2300034
D1_lib8_bc1_10_bc2_78_bc3_2	4.3575406	-5.428426
D1_lib8_bc1_10_bc2_78_bc3_26	-2.5296319	-6.430515
D1_lib8_bc1_10_bc2_78_bc3_89	4.026652	-4.9129114
D1_lib8_bc1_10_bc2_79_bc3_45	6.3966193	1.937295
D1_lib8_bc1_10_bc2_79_bc3_5	-2.7235436	6.258336
D1_lib8_bc1_10_bc2_7_bc3_20	-0.635942	-7.1486664
D1_lib8_bc1_10_bc2_7_bc3_52	6.7242312	1.0697374
D1_lib8_bc1_10_bc2_7_bc3_56	-4.0614543	5.7750435
D1_lib8_bc1_10_bc2_7_bc3_63	-3.0706944	2.9204893
D1_lib8_bc1_10_bc2_80_bc3_7	-3.1275072	-5.650014
D1_lib8_bc1_10_bc2_80_bc3_90	5.0888276	-4.305754
D1_lib8_bc1_10_bc2_81_bc3_51	-3.4757733	5.8452005
D1_lib8_bc1_10_bc2_81_bc3_9	-6.2430716	-0.07276678
D1_lib8_bc1_10_bc2_83_bc3_45	-3.2630446	-2.9942718
D1_lib8_bc1_10_bc2_83_bc3_62	-4.2916126	0.7951789
D1_lib8_bc1_10_bc2_85_bc3_76	-3.3843403	-2.2290761
D1_lib8_bc1_10_bc2_87_bc3_1	-5.950986	-2.8426833
D1_lib8_bc1_10_bc2_87_bc3_28	-2.6888824	5.882264
D1_lib8_bc1_10_bc2_87_bc3_65	-4.5072026	4.965907
D1_lib8_bc1_10_bc2_87_bc3_68	5.4851184	-4.8069882
D1_lib8_bc1_10_bc2_87_bc3_82	-5.3355246	3.8777122
D1_lib8_bc1_10_bc2_87_bc3_91	-2.3848946	-6.339109
D1_lib8_bc1_10_bc2_88_bc3_48	5.730886	-4.803573
D1_lib8_bc1_10_bc2_89_bc3_16	2.4178352	-6.6765594
D1_lib8_bc1_10_bc2_8_bc3_36	5.3275285	3.6838284
D1_lib8_bc1_10_bc2_8_bc3_42	3.8271594	-6.403164
D1_lib8_bc1_10_bc2_8_bc3_75	-4.907629	-4.584107
D1_lib8_bc1_10_bc2_90_bc3_26	-4.526085	-2.983254
D1_lib8_bc1_10_bc2_90_bc3_71	-0.95466185	-6.702645
D1_lib8_bc1_10_bc2_91_bc3_26	-0.03561735	-6.230327
D1_lib8_bc1_10_bc2_91_bc3_67	-5.0079193	-0.04837656
D1_lib8_bc1_10_bc2_91_bc3_88	3.6558738	5.5245314
D1_lib8_bc1_10_bc2_92_bc3_39	5.964722	-3.8234262
D1_lib8_bc1_10_bc2_93_bc3_21	-6.3927326	2.1508565
D1_lib8_bc1_10_bc2_93_bc3_66	5.4504447	-3.6758177
D1_lib8_bc1_10_bc2_93_bc3_87	1.1137967	-7.0830984
D1_lib8_bc1_10_bc2_93_bc3_95	0.02349472	-7.364279
D1_lib8_bc1_10_bc2_93_bc3_96	0.33576632	3.1923885
D1_lib8_bc1_10_bc2_95_bc3_88	-1.7322354	2.4608955
D1_lib8_bc1_10_bc2_95_bc3_9	1.0971904	3.763279
D1_lib8_bc1_10_bc2_96_bc3_27	0.37509012	7.1454983
D1_lib8_bc1_10_bc2_96_bc3_39	2.5205026	-3.5971074
D1_lib8_bc1_10_bc2_96_bc3_55	5.8735538	-3.3453987
D1_lib8_bc1_10_bc2_9_bc3_33	4.6539235	-5.8278284
D1_lib8_bc1_11_bc2_10_bc3_22	-3.8450975	2.9722128
D1_lib8_bc1_11_bc2_10_bc3_80	2.5857553	4.5093794
D1_lib8_bc1_11_bc2_11_bc3_46	5.5003457	0.88366795
D1_lib8_bc1_11_bc2_12_bc3_10	-3.2697456	-5.593771
D1_lib8_bc1_11_bc2_12_bc3_46	-5.184079	3.359767
D1_lib8_bc1_11_bc2_12_bc3_75	-6.672056	1.332283
D1_lib8_bc1_11_bc2_12_bc3_78	4.7138057	-2.2374256
D1_lib8_bc1_11_bc2_14_bc3_18	3.7351317	5.714075
D1_lib8_bc1_11_bc2_14_bc3_28	-4.3318586	4.812853
D1_lib8_bc1_11_bc2_14_bc3_82	-0.7682853	-4.897939
D1_lib8_bc1_11_bc2_16_bc3_75	2.6162648	-5.8380003
D1_lib8_bc1_11_bc2_16_bc3_91	-1.0385275	-2.9716496
D1_lib8_bc1_11_bc2_17_bc3_12	-3.497619	5.585293
D1_lib8_bc1_11_bc2_18_bc3_57	2.1226997	5.0431976
D1_lib8_bc1_11_bc2_18_bc3_77	-3.5339308	-4.063833
D1_lib8_bc1_11_bc2_18_bc3_79	6.226649	-0.8486757
D1_lib8_bc1_11_bc2_19_bc3_6	5.829184	-3.9155488
D1_lib8_bc1_11_bc2_19_bc3_87	5.4408336	-4.244958
D1_lib8_bc1_11_bc2_20_bc3_56	4.587116	-3.8826866
D1_lib8_bc1_11_bc2_20_bc3_7	-3.005252	5.1470394
D1_lib8_bc1_11_bc2_21_bc3_36	3.1851373	1.0796666
D1_lib8_bc1_11_bc2_21_bc3_55	3.7833753	3.4002218
D1_lib8_bc1_11_bc2_21_bc3_77	5.3917956	4.2052097
D1_lib8_bc1_11_bc2_22_bc3_17	-3.0444362	5.2504272
D1_lib8_bc1_11_bc2_22_bc3_87	4.1615243	-5.798156
D1_lib8_bc1_11_bc2_23_bc3_24	-1.7142704	4.5068054
D1_lib8_bc1_11_bc2_23_bc3_93	-6.4079576	0.6947074
D1_lib8_bc1_11_bc2_24_bc3_11	-3.3421366	4.939375
D1_lib8_bc1_11_bc2_24_bc3_19	2.578401	-3.5856233
D1_lib8_bc1_11_bc2_24_bc3_46	-1.9052956	-6.4165287
D1_lib8_bc1_11_bc2_24_bc3_51	4.010464	2.522686
D1_lib8_bc1_11_bc2_24_bc3_61	4.8830132	-4.437863
D1_lib8_bc1_11_bc2_25_bc3_23	-3.9838264	1.7478161
D1_lib8_bc1_11_bc2_25_bc3_68	-5.737022	1.2105594
D1_lib8_bc1_11_bc2_26_bc3_10	1.9303956	5.659849
D1_lib8_bc1_11_bc2_27_bc3_56	0.8494272	-6.903907
D1_lib8_bc1_11_bc2_27_bc3_65	5.3668847	-4.998634
D1_lib8_bc1_11_bc2_27_bc3_90	-0.23928642	-6.927124
D1_lib8_bc1_11_bc2_28_bc3_39	0.42995167	-7.240964
D1_lib8_bc1_11_bc2_29_bc3_79	5.419681	2.980173
D1_lib8_bc1_11_bc2_2_bc3_47	3.4121013	-5.395151
D1_lib8_bc1_11_bc2_31_bc3_5	-4.9750648	3.4208174
D1_lib8_bc1_11_bc2_31_bc3_61	1.6161294	6.724785
D1_lib8_bc1_11_bc2_32_bc3_88	6.109451	-3.4468734
D1_lib8_bc1_11_bc2_33_bc3_20	3.702022	3.2048483
D1_lib8_bc1_11_bc2_33_bc3_71	-4.0594287	-4.033968
D1_lib8_bc1_11_bc2_34_bc3_34	2.4534645	-6.011668
D1_lib8_bc1_11_bc2_34_bc3_39	2.0063386	-7.007362
D1_lib8_bc1_11_bc2_34_bc3_65	-4.3301926	2.8392258
D1_lib8_bc1_11_bc2_34_bc3_71	3.1786962	5.7822065
D1_lib8_bc1_11_bc2_35_bc3_18	-0.60304356	-6.35863
D1_lib8_bc1_11_bc2_35_bc3_56	-5.409257	-1.0897923
D1_lib8_bc1_11_bc2_36_bc3_18	-2.057066	3.9389563
D1_lib8_bc1_11_bc2_36_bc3_35	2.7559962	-6.718633
D1_lib8_bc1_11_bc2_36_bc3_51	6.4416194	-0.28600597
D1_lib8_bc1_11_bc2_36_bc3_88	5.4533534	0.1213212
D1_lib8_bc1_11_bc2_37_bc3_82	-3.723486	3.1313896
D1_lib8_bc1_11_bc2_38_bc3_15	-0.42275953	5.630124
D1_lib8_bc1_11_bc2_38_bc3_20	-2.6861455	-4.5091186
D1_lib8_bc1_11_bc2_38_bc3_21	-2.4839463	4.800497
D1_lib8_bc1_11_bc2_38_bc3_32	0.46160555	-6.75875
D1_lib8_bc1_11_bc2_39_bc3_10	-5.840592	-1.8719621
D1_lib8_bc1_11_bc2_40_bc3_29	2.6985917	3.2127066
D1_lib8_bc1_11_bc2_40_bc3_60	-0.79323626	-4.691838
D1_lib8_bc1_11_bc2_40_bc3_8	-3.6623955	-4.537384
D1_lib8_bc1_11_bc2_42_bc3_29	5.2358985	-0.71611786
D1_lib8_bc1_11_bc2_43_bc3_20	3.6244063	-4.0699773
D1_lib8_bc1_11_bc2_45_bc3_17	2.1163607	5.7127514
D1_lib8_bc1_11_bc2_45_bc3_26	2.865601	3.0302553
D1_lib8_bc1_11_bc2_46_bc3_15	-0.28383017	-5.1647096
D1_lib8_bc1_11_bc2_46_bc3_53	-0.6484337	-7.0256495
D1_lib8_bc1_11_bc2_46_bc3_65	6.73152	-1.951186
D1_lib8_bc1_11_bc2_46_bc3_76	4.546883	-5.6422663
D1_lib8_bc1_11_bc2_47_bc3_77	3.2587333	-4.842404
D1_lib8_bc1_11_bc2_47_bc3_78	-1.4446046	-5.4591856
D1_lib8_bc1_11_bc2_48_bc3_94	-2.9917147	3.1230793
D1_lib8_bc1_11_bc2_4_bc3_3	0.6266966	7.012885
D1_lib8_bc1_11_bc2_4_bc3_68	-6.3769226	3.1051188
D1_lib8_bc1_11_bc2_50_bc3_31	1.7002506	-7.029705
D1_lib8_bc1_11_bc2_50_bc3_74	-6.945508	1.6026883
D1_lib8_bc1_11_bc2_51_bc3_32	4.9883533	-4.6146636
D1_lib8_bc1_11_bc2_53_bc3_3	-0.35081005	6.4788465
D1_lib8_bc1_11_bc2_54_bc3_14	-4.9304175	-2.1546097
D1_lib8_bc1_11_bc2_55_bc3_58	0.03397131	-5.731536
D1_lib8_bc1_11_bc2_55_bc3_63	5.1950955	-4.4508967
D1_lib8_bc1_11_bc2_55_bc3_73	-0.662591	3.861885
D1_lib8_bc1_11_bc2_56_bc3_44	-6.0305595	2.565999
D1_lib8_bc1_11_bc2_57_bc3_51	0.11124754	-7.181302
D1_lib8_bc1_11_bc2_58_bc3_47	1.4829125	-6.8291
D1_lib8_bc1_11_bc2_58_bc3_62	-4.964608	2.444188
D1_lib8_bc1_11_bc2_58_bc3_95	-6.860939	1.2495837
D1_lib8_bc1_11_bc2_59_bc3_22	6.809463	0.19787836
D1_lib8_bc1_11_bc2_59_bc3_85	3.8765836	-5.2069454
D1_lib8_bc1_11_bc2_5_bc3_18	-3.2576528	4.9387226
D1_lib8_bc1_11_bc2_5_bc3_26	-0.77935266	4.305977
D1_lib8_bc1_11_bc2_5_bc3_52	4.652447	4.382289
D1_lib8_bc1_11_bc2_60_bc3_57	-3.3927588	2.5941849
D1_lib8_bc1_11_bc2_62_bc3_35	4.1237254	0.1383295
D1_lib8_bc1_11_bc2_62_bc3_52	-5.54088	2.1178117
D1_lib8_bc1_11_bc2_63_bc3_41	-3.0545585	5.0690565
D1_lib8_bc1_11_bc2_64_bc3_12	-3.01191	5.701318
D1_lib8_bc1_11_bc2_64_bc3_79	4.522203	-5.275304
D1_lib8_bc1_11_bc2_65_bc3_71	-0.5302272	-3.2814918
D1_lib8_bc1_11_bc2_66_bc3_50	2.3360534	5.0610867
D1_lib8_bc1_11_bc2_67_bc3_36	-1.4616287	5.984186
D1_lib8_bc1_11_bc2_67_bc3_70	2.5667295	-5.004595
D1_lib8_bc1_11_bc2_68_bc3_21	-4.11407	-2.7550218
D1_lib8_bc1_11_bc2_68_bc3_25	-5.790728	-3.1171489
D1_lib8_bc1_11_bc2_68_bc3_55	-5.6280165	0.40556955
D1_lib8_bc1_11_bc2_69_bc3_26	5.979341	-0.7773371
D1_lib8_bc1_11_bc2_6_bc3_66	0.5169091	-6.1015463
D1_lib8_bc1_11_bc2_6_bc3_88	-5.380417	3.1171494
D1_lib8_bc1_11_bc2_70_bc3_15	6.890322	-0.11926222
D1_lib8_bc1_11_bc2_70_bc3_20	-6.2814794	-1.6339593
D1_lib8_bc1_11_bc2_70_bc3_83	6.4590163	-2.5474248
D1_lib8_bc1_11_bc2_72_bc3_24	5.9308524	-2.0463886
D1_lib8_bc1_11_bc2_72_bc3_51	-4.8546844	-3.128193
D1_lib8_bc1_11_bc2_72_bc3_92	-4.525145	0.09888172
D1_lib8_bc1_11_bc2_74_bc3_44	-7.094205	1.2239408
D1_lib8_bc1_11_bc2_74_bc3_5	1.9253497	5.657091
D1_lib8_bc1_11_bc2_74_bc3_51	-6.7817173	-0.1439786
D1_lib8_bc1_11_bc2_74_bc3_60	-5.6227674	-2.3422399
D1_lib8_bc1_11_bc2_75_bc3_25	-6.349606	2.0570126
