	N	D	A
0	2342	-3.1392130311369573	-1.8450041
1	2342	-3.1320435436365925	-1.8523271
2	2342	-3.1254208443836626	-3.0150502
3	2342	-3.124362262336629	2.9956162
4	2342	-3.1194542910276546	2.7833164
5	2342	-3.1108325339421037	-3.1372082
6	2342	-3.095251256043203	2.6100123
7	2342	-3.093825232293893	-2.562119
8	2342	-3.0855446710747407	2.6130908
9	2342	-3.0770760146984713	3.1048768
10	2342	-3.0740489949606724	2.3541849
11	2342	-3.0710219752228736	2.6996505
12	2342	-3.0655147239947107	2.2560542
13	2342	-3.061346010396268	2.65494
14	2342	-3.0527548734525736	2.9397943
15	2342	-3.050663955194383	2.9960997
16	2342	-3.043323869760819	2.35899
17	2342	-3.032444970789857	2.4816902
18	2342	-3.0293217163205095	2.6026084
19	2342	-3.021364853743839	2.9444668
20	2342	-3.0155251552612357	-3.1411917
21	2342	-3.0103722228174106	2.5963638
22	2342	-3.0058754362705074	1.6132271
23	2342	-2.994126050409629	-2.458398
24	2342	-2.990622231320067	-3.1200376
25	2342	-2.9761870215877897	1.8949726
26	2342	-2.9725126045650283	2.4736493
27	2342	-2.961651202817984	2.7454584
28	2342	-2.9612268951379748	2.5679367
29	2342	-2.957036310009635	2.5480125
30	2342	-2.9337256334449964	2.8615248
31	2342	-2.927728459947132	-2.6045096
32	2342	-2.9188879875626066	-2.4334893
33	2342	-2.9170114102974107	-2.919401
34	2342	-2.9092382685718783	-2.9532154
35	2342	-2.8923053301253185	-3.0142033
36	2342	-2.8830799188145995	3.043483
37	2342	-2.8784344058643936	-2.2427394
38	2342	-2.8771964772722014	2.3957274
39	2342	-2.8738501331979007	3.128762
40	2342	-2.8633999162129276	-1.3322883
41	2342	-2.8612215118351476	2.2851703
42	2342	-2.8361829844086155	-1.1965915
43	2342	-2.8317299409215066	2.05669
44	2342	-2.828549820474426	3.0867193
45	2342	-2.82215021082645	-2.995362
46	2342	-2.816371752627559	2.2730086
47	2342	-2.8110482222505344	-0.64139414
48	2342	-2.804202433392651	2.4102867
49	2342	-2.7992288474939846	-2.7248895
50	2342	-2.792938595495495	-2.2303715
51	2342	-2.7899246986756348	-2.739054
52	2342	-2.783118278571567	-2.589552
53	2342	-2.778936442055186	-2.3243663
54	2342	-2.775725701466249	-2.323845
55	2342	-2.772401228921846	-2.797804
56	2342	-2.7651617525258096	3.0459344
57	2342	-2.756058821782516	2.7063224
58	2342	-2.751373940078495	-1.9320403
59	2342	-2.7503284809493995	2.7274745
60	2342	-2.736037623314445	2.893398
61	2342	-2.7349003037597805	2.0113046
62	2342	-2.734301023840592	2.558223
63	2342	-2.729498035875125	2.442856
64	2342	-2.716751308250926	0.6018462
65	2342	-2.711130325067297	-2.2334058
66	2342	-2.709778664519638	2.661267
67	2342	-2.7086763394128095	2.071079
68	2342	-2.7017299415173985	-2.088119
69	2342	-2.698860396794861	2.946386
70	2342	-2.690816048098601	-2.6304424
71	2342	-2.685667489960755	2.4192512
72	2342	-2.681866218064589	2.0738537
73	2342	-2.6678290701764436	-0.352993
74	2342	-2.664823921968542	-2.2665386
75	2342	-2.655948455136181	2.3593295
76	2342	-2.6523002839492964	0.011196613
77	2342	-2.6486389898444735	-2.6830268
78	2342	-2.644872712396143	-2.8329163
79	2342	-2.6344268697171493	-2.4609058
80	2342	-2.629265188661365	3.1359842
81	2342	-2.613771396882054	-2.9924805
82	2342	-2.6045809800191706	1.6835139
83	2342	-2.5995111593889555	-2.090066
84	2342	-2.5925691357995237	2.985307
85	2342	-2.5893540209046075	-2.3748775
86	2342	-2.5742757881933467	-0.72919106
87	2342	-2.569144727279419	-1.3882785
88	2342	-2.5631650510054724	-1.6225067
89	2342	-2.5588257394738303	-2.2732408
90	2342	-2.5544164390465163	-1.9040514
91	2342	-2.544622367958465	-1.964992
92	2342	-2.536980455412317	2.6886237
93	2342	-2.531530070161887	-1.9784853
94	2342	-2.5243343368256457	-1.645159
95	2342	-2.5163512284130984	-2.0259302
96	2342	-2.5129567669730233	-1.81075
97	2342	-2.5076813539617726	-1.4267815
98	2342	-2.503482020221474	-2.3805985
99	2342	-2.5014829623888524	3.1335042
100	2342	-2.49781729397805	1.5168087
101	2342	-2.4929530657288703	-2.5842476
102	2342	-2.4888280951902226	-3.1098218
103	2342	-2.4848824711967334	-1.9984397
104	2342	-2.479865142238272	-2.1805882
105	2342	-2.474493494495473	-2.2396886
106	2342	-2.4670659229423193	-1.2023056
107	2342	-2.4628359690601638	-1.823175
108	2342	-2.4555221294624765	0.19378424
109	2342	-2.4513665387819725	-2.7528858
110	2342	-2.4450981583133804	-2.8327973
111	2342	-2.4420798871875404	-2.7594118
112	2342	-2.432788861287129	-1.9572362
113	2342	-2.4197927982221	0.16359401
114	2342	-2.4128157801848324	-1.6830463
115	2342	-2.392680849761295	-2.7061164
116	2342	-2.3452764958616914	-0.8347888
117	2342	-2.3403641502467374	-2.885206
118	2342	-2.3352943296165227	0.80475354
119	2342	-2.330018916605272	-1.0835385
120	2342	-2.3246997605342266	-1.9186628
121	2342	-2.3222632721036573	-2.393628
122	2342	-2.3181470501769685	-1.3016562
123	2342	-2.312289854470447	-1.4579927
124	2342	-2.3038649411539724	-2.5225852
125	2342	-2.3019971125007355	2.9302742
126	2342	-2.292666717846509	-2.97949
127	2342	-2.2865295665573013	-1.7521486
128	2342	-2.282793909250827	-1.9414718
129	2342	-2.2794956825423003	-1.7918941
130	2342	-2.275248231436227	-1.8495811
131	2342	-2.271862518608111	-1.6757962
132	2342	-2.266403384745723	-1.8779824
133	2342	-2.2640762539646406	-2.1094365
134	2342	-2.257904108227597	-1.8847711
135	2342	-2.2504809109804227	-1.6524197
136	2342	-2.2190383995999343	-1.2142564
137	2342	-2.212691281623712	-0.7746103
138	2342	-2.2081682492409316	-2.3219595
139	2342	-2.2026697466247276	-2.5584936
140	2342	-2.1981073454881317	0.20266485
141	2342	-2.1927575692752304	-1.9252247
142	2342	-2.1857236852602293	-2.9967856
143	2342	-2.182079888379324	2.705901
144	2342	-2.1746129480723555	-2.7698593
145	2342	-2.1644689325059456	-1.8011508
146	2342	-2.1619055892019716	0.3158257
147	2342	-2.153318826564256	1.7720835
148	2342	-2.1469454627521567	2.2352698
149	2342	-2.1401084225062323	-1.8681203
150	2342	-2.127011750403675	-2.5440938
151	2342	-2.1233198361569956	2.3704236
152	2342	-2.1193392177156705	2.1878726
153	2342	-2.1063519032626004	-1.822497
154	2342	-2.1000485283461723	0.95165944
155	2342	-2.0948868472903888	-1.0812035
156	2342	-2.086956230549595	-1.7259567
157	2342	-2.073496491050741	-1.9643414
158	2342	-2.0699270573714865	-0.72513795
159	2342	-2.0690128274217754	-1.9200511
160	2342	-2.0648091193754974	1.09601
161	2342	-2.0599536397382767	2.433325
162	2342	-2.0543807739204216	-0.49318528
163	2342	-2.0488254053264843	-1.0491233
164	2342	-2.044831663967221	-1.0892198
165	2342	-2.0400155530838155	-1.9014517
166	2342	-2.035225688036287	-0.5807767
167	2342	-2.027246953929719	-0.8298404
168	2342	-2.026227740636501	1.028775
169	2342	-2.015309472911724	-2.7507126
170	2342	-2.008533672949512	-1.7855129
171	2342	-2.0043124676793163	-0.27852178
172	2342	-2.001740375763383	-1.8350906
173	2342	-1.9918019525780088	-1.5437523
174	2342	-1.9870295847543982	-1.1100969
175	2342	-1.9762644177389026	-1.0936017
176	2342	-1.9604469273171101	-0.45275712
177	2342	-1.9504253923181258	-1.2719581
178	2342	-1.928300152673926	-1.2750344
179	2342	-1.915479061848076	-1.1780704
180	2342	-1.9064898630602483	-2.140831
181	2342	-1.9039833857340074	-1.0774817
182	2342	-1.8917265803795098	-0.772439
183	2342	-1.8901430816149387	-2.3418555
184	2342	-1.8711148506042095	-3.0855527
185	2342	-1.865528861868416	-1.298266
186	2342	-1.8601615884315965	-0.83533454
187	2342	-1.8532895537378362	2.6953056
188	2342	-1.8501881707983863	-3.1038263
189	2342	-1.8456082724378728	-2.8526893
190	2342	-1.8363259951494204	-2.2160704
191	2342	-1.8300051230090746	-2.0955095
192	2342	-1.8269037400696249	-1.707571
193	2342	-1.8223238417091112	-1.7161913
194	2342	-1.8147956611184295	-1.6739413
195	2342	-1.8066419547726824	-0.8312876
196	2342	-1.802613218965583	-1.2069687
197	2342	-1.7949275633596402	-1.7011149
198	2342	-1.7892890829520929	0.1900096
199	2342	-1.7826707580051429	-2.3835993
200	2342	-1.7820189864142004	-2.358708
201	2342	-1.7784889214887616	2.7411335
202	2342	-1.766980122456755	-1.8728187
203	2342	-1.761884055990663	-1.742694
204	2342	-1.7599943558075284	-1.9610921
205	2342	-1.7560749776499163	-1.9711853
206	2342	-1.7506945812951582	-0.8043983
207	2342	-1.7490323450229566	0.38777733
208	2342	-1.7383546641270506	-2.412589
209	2342	-1.7373310765278527	-1.212594
210	2342	-1.7315657412469008	-2.239636
211	2342	-1.7243000190149878	-0.82883763
212	2342	-1.7202144172301552	-1.2875502
213	2342	-1.7151270993760224	-1.3951144
214	2342	-1.7081675785626724	-1.5605357
215	2342	-1.7069821416422342	-1.0803638
216	2342	-1.7039769934343325	-0.90600777
217	2342	-1.69687749482964	-0.4180603
218	2342	-1.6957926669467291	-0.5138724
219	2342	-1.694143553592466	-1.9263426
220	2342	-1.680893780780627	-1.5176227
221	2342	-1.6778973811846845	-1.6938002
222	2342	-1.6719658222765124	-1.2482669
223	2342	-1.652417048854225	-0.625849
224	2342	-1.650632332014598	-1.2013807
225	2342	-1.6492587999370418	0.24509811
226	2342	-1.6463105177068735	-1.0611053
227	2342	-1.644880119651584	-0.83507013
228	2342	-1.6367657820596524	-0.16188192
229	2342	-1.6337081421799973	-0.92248845
230	2342	-1.6300774682170307	-1.0318484
231	2342	-1.6268098616503606	-0.6343305
232	2342	-1.6230435842020297	-1.3698432
233	2342	-1.6185949150209005	-1.4544654
234	2342	-1.6155285265292865	-0.5318694
235	2342	-1.6099775322413288	-1.9347503
236	2342	-1.6077378875798363	-2.4851723
237	2342	-1.6055026172243227	-2.0624766
238	2342	-1.6032673468688095	-1.7248015
239	2342	-1.6010320765132962	-2.553422
240	2342	-1.596172222570096	-1.3739892
241	2342	-1.593866963318911	-1.3703794
242	2342	-1.5875767113204218	-0.70148134
243	2342	-1.5808227828881078	-3.1086614
244	2342	-1.5782681881960925	-1.8423169
245	2342	-1.5732858536854668	0.7078514
246	2342	-1.5686403407352614	-0.10403466
247	2342	-1.5647690799434233	-0.9420805
248	2342	-1.5498920653072186	-1.1634661
249	2342	-1.5373946731238495	-1.3479445
250	2342	-1.532674796971993	-2.0810776
251	2342	-1.5241973919837644	-2.0847008
252	2342	-1.5235849891466373	0.26854897
253	2342	-1.512535492242476	-1.0165138
254	2342	-1.4987957971609354	0.93868804
255	2342	-1.4932316799550394	-2.6941004
256	2342	-1.4919106395492368	-1.9312991
257	2342	-1.487383232860477	-1.1933914
258	2342	-1.485926588969311	-2.3197732
259	2342	-1.4824708872455234	-0.967078
260	2342	-1.4784377771324444	-1.3336492
261	2342	-1.4725893300378823	-0.73729634
262	2342	-1.4618110401044484	1.926336
263	2342	-1.44998291673594	-1.6306157
264	2342	-1.4490555638682905	-1.0348182
265	2342	-1.446754678923085	-1.2707897
266	2342	-1.4403725664990266	-1.1101704
267	2342	-1.4321444969516284	-0.107278824
268	2342	-1.4307972107099491	-0.5761931
269	2342	-1.4266853630892395	-1.1430625
270	2342	-1.4219829841613008	-1.5727032
271	2342	-1.4148922341685668	-0.825618
272	2342	-1.405539967984443	-0.91947675
273	2342	-1.4002470577492743	-1.5811901
274	2342	-1.389289421270682	-2.2206862
275	2342	-1.3882352135296276	-2.036516
276	2342	-1.386096177905663	-2.232442
277	2342	-1.3850419701646088	-1.18846
278	2342	-1.3841671089687129	-1.2341377
279	2342	-1.3809388711558583	-1.5962516
280	2342	-1.3772557055211379	-1.0363398
281	2342	-1.367942808090829	-0.9535408
282	2342	-1.3655850571678905	-1.0854099
283	2342	-1.3567664563132624	-2.6343617
284	2342	-1.346832407433868	-1.343738
285	2342	-1.3387924330435872	-2.197356
286	2342	-1.3261375658449572	-1.7202555
287	2342	-1.3217545112535203	-1.2912312
288	2342	-1.317769518506216	-1.4962773
289	2342	-1.316829042720628	-1.0163612
290	2342	-1.310818746304825	-3.0744748
291	2342	-1.3097514156458325	0.10349941
292	2342	-1.308364760650338	0.020230532
293	2342	-1.3059370208317278	-0.028769016
294	2342	-1.2887853670861944	0.6390517
295	2342	-1.2832168755743185	0.47907352
296	2342	-1.2802554704262121	-0.0016350746
297	2342	-1.2757499352673496	-1.8842639
298	2342	-1.2718961716994295	1.3031852
299	2342	-1.2632875375318167	0.077397585
300	2342	-1.260728568533822	0.06880212
301	2342	-1.258576409991919	-1.6198843
302	2342	-1.2488479534935597	-0.36182237
303	2342	-1.2403924200352288	-0.81181407
304	2342	-1.2369804613712356	-0.4540503
305	2342	-1.2345745930825227	-1.5742335
