	tu	genes
1	TU1TQS1	SAUSA300_RS00010
2	TU1TQS2	SAUSA300_RS00015
6	TU1TQS3	SAUSA300_RS00020
5	TU1TQS3	SAUSA300_RS00025
4	TU1TQS3	SAUSA300_RS00030
3	TU1TQS3	SAUSA300_RS00035
7	TU1TQS1954	SAUSA300_RS00040
8	TU1TQS1953	SAUSA300_RS00045
9	TU1TQS4	SAUSA300_RS00050
11	TU1TQS5	SAUSA300_RS00055
10	TU1TQS5	SAUSA300_RS00060
12	TU1TQS6	SAUSA300_RS00065
16	TU1TQS7	SAUSA300_RS00070
15	TU1TQS7	SAUSA300_RS00075
14	TU1TQS7	SAUSA300_RS00080
13	TU1TQS7	SAUSA300_RS00085
17	TU1TQS8	SAUSA300_RS00090
19	TU1TQS9	SAUSA300_RS00095
18	TU1TQS9	SAUSA300_RS00100
23	TU1TQS10	SAUSA300_RS00105
22	TU1TQS10	SAUSA300_RS00110
21	TU1TQS10	SAUSA300_RS00115
20	TU1TQS10	SAUSA300_RS00120
24	TU1TQS11	SAUSA300_RS00125
25	TU1TQS12	SAUSA300_RS00130
26	TU1TQS13	SAUSA300_RS00135
27	TU1TQS14	SAUSA300_RS00140
28	TU1TQS1950	SAUSA300_RS00145
29	TU1TQS17	SAUSA300_RS00155
30	TU1TQS18	SAUSA300_RS00160
31	TU1TQS1949	SAUSA300_RS00165
32	TU1TQS19	SAUSA300_RS00170
33	TU1TQS20	SAUSA300_RS00175
36	TU1TQS21	SAUSA300_RS00180
35	TU1TQS21	SAUSA300_RS00185
34	TU1TQS21	SAUSA300_RS00190
37	TU1TQS22	SAUSA300_RS00195
39	TU1TQS23	SAUSA300_RS00200
38	TU1TQS23	SAUSA300_RS00205
41	TU1TQS24	SAUSA300_RS00210
40	TU1TQS24	SAUSA300_RS00215
42	TU1TQS25	SAUSA300_RS00220
43	TU1TQS26	SAUSA300_RS00225
44	TU1TQS1948	SAUSA300_RS00235
45	TU1TQS27	SAUSA300_RS00240
46	TU1TQS28	SAUSA300_RS00245
47	TU1TQS29	SAUSA300_RS00250
48	TU1TQS30	SAUSA300_RS00255
49	TU1TQS31	SAUSA300_RS00260
50	TU1TQS32	SAUSA300_RS00265
51	TU1TQS33	SAUSA300_RS00270
52	TU1TQS34	SAUSA300_RS00275
54	TU1TQS1946	SAUSA300_RS00280
57	TU1TQS35	SAUSA300_RS00285
56	TU1TQS35	SAUSA300_RS00290
55	TU1TQS35	SAUSA300_RS00295
58	TU1TQS36	SAUSA300_RS00300
59	TU1TQS1945	SAUSA300_RS00305
62	TU1TQS38	SAUSA300_RS00310
61	TU1TQS38	SAUSA300_RS00315
60	TU1TQS38	SAUSA300_RS00320
63	TU1TQS39	SAUSA300_RS00325
64	TU1TQS40	SAUSA300_RS00330
65	TU1TQS41	SAUSA300_RS00335
66	TU1TQS1944	SAUSA300_RS00340
67	TU1TQS43	SAUSA300_RS00355
68	TU1TQS44	SAUSA300_RS00360
74	TU1TQS45	SAUSA300_RS00365
73	TU1TQS45	SAUSA300_RS00370
72	TU1TQS45	SAUSA300_RS00375
71	TU1TQS45	SAUSA300_RS00380
70	TU1TQS45	SAUSA300_RS00385
69	TU1TQS45	SAUSA300_RS00390
76	TU1TQS46	SAUSA300_RS00395
75	TU1TQS46	SAUSA300_RS00400
77	TU1TQS1942	SAUSA300_RS00405
78	TU1TQS47	SAUSA300_RS00410
79	TU1TQS48	SAUSA300_RS00415
81	TU1TQS49	SAUSA300_RS00420
80	TU1TQS49	SAUSA300_RS00425
83	TU1TQS50	SAUSA300_RS00430
82	TU1TQS50	SAUSA300_RS00435
2902	TU1TQS51	SAUSA300_RS00440
2901	TU1TQS51	SAUSA300_RS00445
2905	TU1TQS53	SAUSA300_RS00455
84	TU1TQS54	SAUSA300_RS00460
85	TU1TQS55	SAUSA300_RS00465
86	TU1TQS56	SAUSA300_RS00470
88	TU1TQS57	SAUSA300_RS00475
87	TU1TQS57	SAUSA300_RS00480
89	TU1TQS1941	SAUSA300_RS00485
90	TU1TQS1940	SAUSA300_RS00490
91	TU1TQS58	SAUSA300_RS00495
92	TU1TQS59	SAUSA300_RS00500
93	TU1TQS60	SAUSA300_RS00505
94	TU1TQS61	SAUSA300_RS00510
95	TU1TQS62	SAUSA300_RS00515
96	TU1TQS63	SAUSA300_RS00520
97	TU1TQS64	SAUSA300_RS00525
98	TU1TQS65	SAUSA300_RS00530
99	TU1TQS66	SAUSA300_RS00535
100	TU1TQS67	SAUSA300_RS00540
102	TU1TQS68	SAUSA300_RS00545
101	TU1TQS68	SAUSA300_RS00550
103	TU1TQS69	SAUSA300_RS00555
104	TU1TQS70	SAUSA300_RS00560
105	TU1TQS71	SAUSA300_RS00565
106	TU1TQS72	SAUSA300_RS00570
107	TU1TQS73	SAUSA300_RS00575
108	TU1TQS74	SAUSA300_RS00580
109	TU1TQS75	SAUSA300_RS00585
110	TU1TQS77	SAUSA300_RS00590
113	TU1TQS78	SAUSA300_RS00595
112	TU1TQS78	SAUSA300_RS00600
111	TU1TQS78	SAUSA300_RS00605
118	TU1TQS79	SAUSA300_RS00610
117	TU1TQS79	SAUSA300_RS00615
116	TU1TQS79	SAUSA300_RS00620
115	TU1TQS79	SAUSA300_RS00625
114	TU1TQS79	SAUSA300_RS00630
119	TU1TQS80	SAUSA300_RS00635
122	TU1TQS81	SAUSA300_RS00640
121	TU1TQS81	SAUSA300_RS00645
120	TU1TQS81	SAUSA300_RS00650
123	TU1TQS1939	SAUSA300_RS00655
124	TU1TQS82	SAUSA300_RS00660
125	TU1TQS83	SAUSA300_RS00665
126	TU1TQS84	SAUSA300_RS00670
127	TU1TQS85	SAUSA300_RS00675
129	TU1TQS86	SAUSA300_RS00680
128	TU1TQS86	SAUSA300_RS00685
132	TU1TQS87	SAUSA300_RS00690
131	TU1TQS87	SAUSA300_RS00695
130	TU1TQS87	SAUSA300_RS00700
133	TU1TQS88	SAUSA300_RS00705
134	TU1TQS89	SAUSA300_RS00710
135	TU1TQS1938	SAUSA300_RS00715
139	TU1TQS90	SAUSA300_RS00725
138	TU1TQS90	SAUSA300_RS00730
137	TU1TQS90	SAUSA300_RS00735
136	TU1TQS90	SAUSA300_RS00740
142	TU1TQS91	SAUSA300_RS00745
141	TU1TQS91	SAUSA300_RS00750
140	TU1TQS91	SAUSA300_RS00755
143	TU1TQS92	SAUSA300_RS00760
144	TU1TQS93	SAUSA300_RS00765
145	TU1TQS94	SAUSA300_RS00770
146	TU1TQS95	SAUSA300_RS00775
148	TU1TQS96	SAUSA300_RS00780
147	TU1TQS96	SAUSA300_RS00785
149	TU1TQS97	SAUSA300_RS00790
150	TU1TQS99	SAUSA300_RS00800
164	TU1TQS100	SAUSA300_RS00805
163	TU1TQS100	SAUSA300_RS00810
162	TU1TQS100	SAUSA300_RS00815
161	TU1TQS100	SAUSA300_RS00820
160	TU1TQS100	SAUSA300_RS00825
159	TU1TQS100	SAUSA300_RS00830
158	TU1TQS100	SAUSA300_RS00835
157	TU1TQS100	SAUSA300_RS00840
156	TU1TQS100	SAUSA300_RS00845
155	TU1TQS100	SAUSA300_RS00850
154	TU1TQS100	SAUSA300_RS00855
153	TU1TQS100	SAUSA300_RS00860
152	TU1TQS100	SAUSA300_RS00865
151	TU1TQS100	SAUSA300_RS00870
166	TU1TQS101	SAUSA300_RS00875
165	TU1TQS101	SAUSA300_RS00880
168	TU1TQS102	SAUSA300_RS00885
167	TU1TQS102	SAUSA300_RS00890
169	TU1TQS103	SAUSA300_RS00895
170	TU1TQS104	SAUSA300_RS00900
171	TU1TQS1936	SAUSA300_RS00905
172	TU1TQS105	SAUSA300_RS00910
176	TU1TQS106	SAUSA300_RS00915
175	TU1TQS106	SAUSA300_RS00920
174	TU1TQS106	SAUSA300_RS00925
173	TU1TQS106	SAUSA300_RS00930
177	TU1TQS107	SAUSA300_RS00935
178	TU1TQS108	SAUSA300_RS00940
179	TU1TQS109	SAUSA300_RS00945
181	TU1TQS110	SAUSA300_RS00950
180	TU1TQS110	SAUSA300_RS00955
182	TU1TQS111	SAUSA300_RS00960
186	TU1TQS112	SAUSA300_RS00965
185	TU1TQS112	SAUSA300_RS00970
184	TU1TQS112	SAUSA300_RS00975
183	TU1TQS112	SAUSA300_RS00980
187	TU1TQS113	SAUSA300_RS00985
188	TU1TQS114	SAUSA300_RS00990
189	TU1TQS115	SAUSA300_RS00995
190	TU1TQS1935	SAUSA300_RS01000
191	TU1TQS1934	SAUSA300_RS01005
195	TU1TQS116	SAUSA300_RS01010
194	TU1TQS116	SAUSA300_RS01015
193	TU1TQS116	SAUSA300_RS01020
192	TU1TQS116	SAUSA300_RS01025
196	TU1TQS1933	SAUSA300_RS01030
197	TU1TQS117	SAUSA300_RS01035
200	TU1TQS118	SAUSA300_RS01040
199	TU1TQS118	SAUSA300_RS01045
198	TU1TQS118	SAUSA300_RS01050
201	TU1TQS1932	SAUSA300_RS01055
205	TU1TQS119	SAUSA300_RS01060
204	TU1TQS119	SAUSA300_RS01065
