cell_angle	gene_angle	expression
-3.1116629	-3.1105087	-0.4827962
-3.1116629	-3.0466485	-0.47687855
-3.1116629	-2.9849415	-0.3409442
-3.1116629	-2.9266996	-0.4260702
-3.1116629	-2.8614807	-0.38752016
-3.1116629	-2.7943614	-0.2832655
-3.1116629	-2.7317448	-0.30001268
-3.1116629	-2.6744542	-0.19993192
-3.1116629	-2.6036892	-0.2508548
-3.1116629	-2.5419345	-0.21158177
-3.1116629	-2.481099	-0.14138693
-3.1116629	-2.4203305	-0.16281426
-3.1116629	-2.3581228	-0.16342214
-3.1116629	-2.2966204	-0.07311354
-3.1116629	-2.2276394	-0.03769839
-3.1116629	-2.1718416	0.008679491
-3.1116629	-2.1018038	0.05593955
-3.1116629	-2.0481963	0.023031913
-3.1116629	-1.9814297	0.055725805
-3.1116629	-1.9159212	0.07671748
-3.1116629	-1.8559505	0.046651896
-3.1116629	-1.7988051	0.101707734
-3.1116629	-1.728445	0.050227534
-3.1116629	-1.6636312	0.21127369
-3.1116629	-1.5978097	0.14010547
-3.1116629	-1.5414871	0.1845382
-3.1116629	-1.4817711	0.17084889
-3.1116629	-1.4183853	0.28443545
-3.1116629	-1.3484714	0.2359793
-3.1116629	-1.2974786	0.39976555
-3.1116629	-1.2255405	0.27715284
-3.1116629	-1.1582689	0.26729664
-3.1116629	-1.0968113	0.34319285
-3.1116629	-1.03948	0.2809666
-3.1116629	-0.9765947	0.4276575
-3.1116629	-0.912997	0.3565192
-3.1116629	-0.8470843	0.48762694
-3.1116629	-0.78261423	0.36286387
-3.1116629	-0.72857594	0.39311972
-3.1116629	-0.65876913	0.4514535
-3.1116629	-0.6003947	0.5070618
-3.1116629	-0.5386982	0.46189943
-3.1116629	-0.46863675	0.44116634
-3.1116629	-0.41355753	0.4952924
-3.1116629	-0.34690762	0.4215653
-3.1116629	-0.28091502	0.48301724
-3.1116629	-0.2254548	0.40244484
-3.1116629	-0.16383696	0.5076348
-3.1116629	-0.099280834	0.42031804
-3.1116629	-0.031149387	0.41851893
-3.1116629	0.023422956	0.34495273
-3.1116629	0.09518695	0.23327896
-3.1116629	0.15850925	0.35374495
-3.1116629	0.22248673	0.18688028
-3.1116629	0.29175448	0.22680867
-3.1116629	0.3427229	0.16982548
-3.1116629	0.4089749	0.062775776
-3.1116629	0.46765304	0.037045777
-3.1116629	0.53337574	0.045368608
-3.1116629	0.59359264	-0.079953775
-3.1116629	0.6631508	-0.13012984
-3.1116629	0.7255933	-0.15539233
-3.1116629	0.785414	-0.17717703
-3.1116629	0.8526194	-0.2640743
-3.1116629	0.90943074	-0.39022908
-3.1116629	0.98616624	-0.38613325
-3.1116629	1.0349038	-0.4332402
-3.1116629	1.1006563	-0.45263737
-3.1116629	1.16695	-0.42998427
-3.1116629	1.2283647	-0.45866495
-3.1116629	1.2860177	-0.5961326
-3.1116629	1.3462832	-0.6796742
-3.1116629	1.4076474	-0.60419476
-3.1116629	1.4790037	-0.732736
-3.1116629	1.5389931	-0.7258709
-3.1116629	1.6047962	-0.8469824
-3.1116629	1.6589229	-0.8387628
-3.1116629	1.726052	-0.82888883
-3.1116629	1.7914565	-0.8689067
-3.1116629	1.849828	-0.8728768
-3.1116629	1.9167464	-0.79626256
-3.1116629	1.9825475	-0.84325904
-3.1116629	2.0394747	-0.9129379
-3.1116629	2.1032088	-0.7254905
-3.1116629	2.1659925	-0.87275785
-3.1116629	2.2252357	-0.7456451
-3.1116629	2.2861564	-0.80317324
-3.1116629	2.3562376	-0.6917448
-3.1116629	2.4195673	-0.69798857
-3.1116629	2.4821455	-0.6737908
-3.1116629	2.5445416	-0.70966357
-3.1116629	2.607569	-0.72375965
-3.1116629	2.673991	-0.62733936
-3.1116629	2.7405002	-0.6184554
-3.1116629	2.7970626	-0.59257996
-3.1116629	2.8593328	-0.6144911
-3.1116629	2.9301932	-0.47639677
-3.1116629	2.9837449	-0.48605993
-3.1116629	3.045716	-0.452856
-3.1116629	3.1092842	-0.34287152
-3.0476441	-3.1105087	-0.5083058
-3.0476441	-3.0466485	-0.48935705
-3.0476441	-2.9849415	-0.34073573
-3.0476441	-2.9266996	-0.43630767
-3.0476441	-2.8614807	-0.4156124
-3.0476441	-2.7943614	-0.32561302
-3.0476441	-2.7317448	-0.31358296
-3.0476441	-2.6744542	-0.2348439
-3.0476441	-2.6036892	-0.30129102
-3.0476441	-2.5419345	-0.20851101
-3.0476441	-2.481099	-0.18651778
-3.0476441	-2.4203305	-0.20580848
-3.0476441	-2.3581228	-0.19611786
-3.0476441	-2.2966204	-0.091541044
-3.0476441	-2.2276394	-0.049036704
-3.0476441	-2.1718416	-0.031408742
-3.0476441	-2.1018038	0.008988637
-3.0476441	-2.0481963	-0.018719602
-3.0476441	-1.9814297	0.021386914
-3.0476441	-1.9159212	0.033938456
-3.0476441	-1.8559505	-0.010837012
-3.0476441	-1.7988051	0.09514198
-3.0476441	-1.728445	-0.021205029
-3.0476441	-1.6636312	0.18458919
-3.0476441	-1.5978097	0.0983933
-3.0476441	-1.5414871	0.1811153
-3.0476441	-1.4817711	0.13886921
-3.0476441	-1.4183853	0.23174451
-3.0476441	-1.3484714	0.21040827
-3.0476441	-1.2974786	0.37568086
-3.0476441	-1.2255405	0.2489956
-3.0476441	-1.1582689	0.23611309
-3.0476441	-1.0968113	0.31604105
-3.0476441	-1.03948	0.2628365
-3.0476441	-0.9765947	0.38407665
-3.0476441	-0.912997	0.3170906
-3.0476441	-0.8470843	0.45643538
-3.0476441	-0.78261423	0.35011783
-3.0476441	-0.72857594	0.35022938
-3.0476441	-0.65876913	0.4130049
-3.0476441	-0.6003947	0.4714012
-3.0476441	-0.5386982	0.45740402
-3.0476441	-0.46863675	0.40941995
-3.0476441	-0.41355753	0.49594134
-3.0476441	-0.34690762	0.41623947
-3.0476441	-0.28091502	0.46578884
-3.0476441	-0.2254548	0.41134295
-3.0476441	-0.16383696	0.4613735
-3.0476441	-0.099280834	0.42950234
-3.0476441	-0.031149387	0.41415387
-3.0476441	0.023422956	0.35123664
-3.0476441	0.09518695	0.25095776
-3.0476441	0.15850925	0.416689
-3.0476441	0.22248673	0.2103528
-3.0476441	0.29175448	0.21074182
-3.0476441	0.3427229	0.2490239
-3.0476441	0.4089749	0.09562621
-3.0476441	0.46765304	0.057553623
-3.0476441	0.53337574	0.07965709
-3.0476441	0.59359264	-0.035863534
-3.0476441	0.6631508	-0.11553327
-3.0476441	0.7255933	-0.11363256
-3.0476441	0.785414	-0.12586305
-3.0476441	0.8526194	-0.21933995
-3.0476441	0.90943074	-0.30680966
-3.0476441	0.98616624	-0.3382791
-3.0476441	1.0349038	-0.38690636
-3.0476441	1.1006563	-0.41574702
-3.0476441	1.16695	-0.4135636
-3.0476441	1.2283647	-0.4425171
-3.0476441	1.2860177	-0.5593992
-3.0476441	1.3462832	-0.66986954
-3.0476441	1.4076474	-0.5696218
-3.0476441	1.4790037	-0.70250714
-3.0476441	1.5389931	-0.6834217
-3.0476441	1.6047962	-0.84484047
-3.0476441	1.6589229	-0.8029021
-3.0476441	1.726052	-0.75561607
-3.0476441	1.7914565	-0.81308955
-3.0476441	1.849828	-0.83608973
-3.0476441	1.9167464	-0.80754936
-3.0476441	1.9825475	-0.80932665
-3.0476441	2.0394747	-0.8801501
-3.0476441	2.1032088	-0.7074291
-3.0476441	2.1659925	-0.8465741
-3.0476441	2.2252357	-0.7853369
-3.0476441	2.2861564	-0.8014043
-3.0476441	2.3562376	-0.6916455
-3.0476441	2.4195673	-0.70633435
-3.0476441	2.4821455	-0.69322735
-3.0476441	2.5445416	-0.7087259
-3.0476441	2.607569	-0.74486953
-3.0476441	2.673991	-0.63974106
-3.0476441	2.7405002	-0.6435974
-3.0476441	2.7970626	-0.62180287
-3.0476441	2.8593328	-0.62656623
-3.0476441	2.9301932	-0.49002454
-3.0476441	2.9837449	-0.49152708
-3.0476441	3.045716	-0.46108985
-3.0476441	3.1092842	-0.37294897
-2.9841266	-3.1105087	-0.5095935
-2.9841266	-3.0466485	-0.48223105
-2.9841266	-2.9849415	-0.26702002
-2.9841266	-2.9266996	-0.45235986
-2.9841266	-2.8614807	-0.4273799
-2.9841266	-2.7943614	-0.34154546
-2.9841266	-2.7317448	-0.29284707
-2.9841266	-2.6744542	-0.22564138
-2.9841266	-2.6036892	-0.35045916
-2.9841266	-2.5419345	-0.19722158
-2.9841266	-2.481099	-0.20333368
-2.9841266	-2.4203305	-0.20898612
-2.9841266	-2.3581228	-0.22197191
-2.9841266	-2.2966204	-0.06415648
-2.9841266	-2.2276394	-0.05919729
-2.9841266	-2.1718416	-0.038702413
-2.9841266	-2.1018038	0.0034276873
-2.9841266	-2.0481963	-0.020031322
-2.9841266	-1.9814297	0.0025953127
-2.9841266	-1.9159212	0.024409734
-2.9841266	-1.8559505	-0.01766544
-2.9841266	-1.7988051	0.075319774
-2.9841266	-1.728445	-0.0145806065
-2.9841266	-1.6636312	0.19208167
-2.9841266	-1.5978097	0.10745636
-2.9841266	-1.5414871	0.1496077
-2.9841266	-1.4817711	0.1409677
-2.9841266	-1.4183853	0.19859473
-2.9841266	-1.3484714	0.21666971
-2.9841266	-1.2974786	0.34252962
-2.9841266	-1.2255405	0.2002519
-2.9841266	-1.1582689	0.209733
-2.9841266	-1.0968113	0.33700782
-2.9841266	-1.03948	0.25878128
-2.9841266	-0.9765947	0.40172365
-2.9841266	-0.912997	0.32625312
-2.9841266	-0.8470843	0.44240627
-2.9841266	-0.78261423	0.35512748
-2.9841266	-0.72857594	0.38995868
-2.9841266	-0.65876913	0.42056894
-2.9841266	-0.6003947	0.46386382
-2.9841266	-0.5386982	0.4491407
-2.9841266	-0.46863675	0.40111354
-2.9841266	-0.41355753	0.5044724
-2.9841266	-0.34690762	0.43968117
-2.9841266	-0.28091502	0.46683288
-2.9841266	-0.2254548	0.40373662
-2.9841266	-0.16383696	0.47285014
-2.9841266	-0.099280834	0.4470747
-2.9841266	-0.031149387	0.42955655
-2.9841266	0.023422956	0.39973053
-2.9841266	0.09518695	0.28688318
-2.9841266	0.15850925	0.48662978
-2.9841266	0.22248673	0.27391228
-2.9841266	0.29175448	0.2920784
-2.9841266	0.3427229	0.30541325
-2.9841266	0.4089749	0.16680773
-2.9841266	0.46765304	0.10693405
-2.9841266	0.53337574	0.13238461
-2.9841266	0.59359264	0.03081542
-2.9841266	0.6631508	-0.060143027
-2.9841266	0.7255933	-0.03221669
-2.9841266	0.785414	-0.042139877
-2.9841266	0.8526194	-0.120268464
-2.9841266	0.90943074	-0.19983532
-2.9841266	0.98616624	-0.26032612
-2.9841266	1.0349038	-0.28569743
-2.9841266	1.1006563	-0.35189816
-2.9841266	1.16695	-0.3339545
-2.9841266	1.2283647	-0.36647418
-2.9841266	1.2860177	-0.51259243
-2.9841266	1.3462832	-0.57616585
-2.9841266	1.4076474	-0.46630117
-2.9841266	1.4790037	-0.6056742
-2.9841266	1.5389931	-0.59149903
-2.9841266	1.6047962	-0.7428163
-2.9841266	1.6589229	-0.7277169
-2.9841266	1.726052	-0.67222357
-2.9841266	1.7914565	-0.7391948
-2.9841266	1.849828	-0.7724944
-2.9841266	1.9167464	-0.74736446
-2.9841266	1.9825475	-0.72219515
-2.9841266	2.0394747	-0.8640741
-2.9841266	2.1032088	-0.66539073
-2.9841266	2.1659925	-0.7992726
-2.9841266	2.2252357	-0.71798515
-2.9841266	2.2861564	-0.7824165
-2.9841266	2.3562376	-0.64469415
