Cell Barcode	cell_angle
D5_lib8_bc1_10_bc2_10_bc3_8	22.147522
D5_lib8_bc1_10_bc2_10_bc3_85	48.200012
D5_lib8_bc1_10_bc2_11_bc3_40	52.558716
D5_lib8_bc1_10_bc2_12_bc3_22	294.5766
D5_lib8_bc1_10_bc2_12_bc3_75	95.57822
D5_lib8_bc1_10_bc2_12_bc3_88	306.47656
D5_lib8_bc1_10_bc2_12_bc3_95	90.00897
D5_lib8_bc1_10_bc2_14_bc3_53	296.17615
D5_lib8_bc1_10_bc2_16_bc3_88	101.77423
D5_lib8_bc1_10_bc2_17_bc3_33	32.32495
D5_lib8_bc1_10_bc2_18_bc3_22	119.58005
D5_lib8_bc1_10_bc2_19_bc3_25	349.86987
D5_lib8_bc1_10_bc2_1_bc3_3	13.627533
D5_lib8_bc1_10_bc2_20_bc3_66	32.676025
D5_lib8_bc1_10_bc2_21_bc3_36	283.45132
D5_lib8_bc1_10_bc2_21_bc3_37	152.65681
D5_lib8_bc1_10_bc2_21_bc3_7	66.09537
D5_lib8_bc1_10_bc2_21_bc3_8	98.32568
D5_lib8_bc1_10_bc2_22_bc3_40	7.476776
D5_lib8_bc1_10_bc2_22_bc3_41	265.0511
D5_lib8_bc1_10_bc2_22_bc3_49	217.21765
D5_lib8_bc1_10_bc2_23_bc3_11	89.99768
D5_lib8_bc1_10_bc2_23_bc3_14	122.00621
D5_lib8_bc1_10_bc2_23_bc3_50	51.66452
D5_lib8_bc1_10_bc2_25_bc3_53	59.840576
D5_lib8_bc1_10_bc2_26_bc3_91	323.24854
D5_lib8_bc1_10_bc2_27_bc3_14	323.81128
D5_lib8_bc1_10_bc2_2_bc3_71	358.80023
D5_lib8_bc1_10_bc2_30_bc3_79	55.4469
D5_lib8_bc1_10_bc2_31_bc3_27	273.24933
D5_lib8_bc1_10_bc2_32_bc3_12	296.00745
D5_lib8_bc1_10_bc2_33_bc3_80	87.40698
D5_lib8_bc1_10_bc2_34_bc3_43	19.812714
D5_lib8_bc1_10_bc2_34_bc3_57	57.750275
D5_lib8_bc1_10_bc2_35_bc3_9	323.00772
D5_lib8_bc1_10_bc2_35_bc3_96	311.55957
D5_lib8_bc1_10_bc2_37_bc3_67	260.01532
D5_lib8_bc1_10_bc2_38_bc3_11	86.680786
D5_lib8_bc1_10_bc2_38_bc3_41	119.764786
D5_lib8_bc1_10_bc2_3_bc3_5	174.44997
D5_lib8_bc1_10_bc2_3_bc3_54	27.075348
D5_lib8_bc1_10_bc2_3_bc3_61	65.93552
D5_lib8_bc1_10_bc2_41_bc3_11	144.2957
D5_lib8_bc1_10_bc2_42_bc3_40	92.260345
D5_lib8_bc1_10_bc2_43_bc3_31	115.683716
D5_lib8_bc1_10_bc2_46_bc3_57	71.850494
D5_lib8_bc1_10_bc2_46_bc3_69	98.61151
D5_lib8_bc1_10_bc2_46_bc3_8	211.98022
D5_lib8_bc1_10_bc2_46_bc3_90	157.697
D5_lib8_bc1_10_bc2_47_bc3_9	69.070984
D5_lib8_bc1_10_bc2_47_bc3_92	78.89618
D5_lib8_bc1_10_bc2_48_bc3_50	275.76276
D5_lib8_bc1_10_bc2_49_bc3_36	10.394043
D5_lib8_bc1_10_bc2_49_bc3_43	124.823975
D5_lib8_bc1_10_bc2_4_bc3_23	353.97882
D5_lib8_bc1_10_bc2_50_bc3_35	347.23557
D5_lib8_bc1_10_bc2_51_bc3_83	50.21292
D5_lib8_bc1_10_bc2_51_bc3_85	192.8633
D5_lib8_bc1_10_bc2_52_bc3_37	150.93428
D5_lib8_bc1_10_bc2_53_bc3_42	273.9203
D5_lib8_bc1_10_bc2_54_bc3_15	190.27762
D5_lib8_bc1_10_bc2_54_bc3_20	7.7853394
D5_lib8_bc1_10_bc2_56_bc3_50	192.72134
D5_lib8_bc1_10_bc2_56_bc3_75	51.232788
D5_lib8_bc1_10_bc2_56_bc3_94	108.60716
D5_lib8_bc1_10_bc2_59_bc3_18	182.47147
D5_lib8_bc1_10_bc2_59_bc3_29	331.25665
D5_lib8_bc1_10_bc2_5_bc3_25	93.10858
D5_lib8_bc1_10_bc2_5_bc3_44	44.190582
D5_lib8_bc1_10_bc2_5_bc3_8	69.94818
D5_lib8_bc1_10_bc2_5_bc3_94	236.57404
D5_lib8_bc1_10_bc2_60_bc3_41	13.147583
D5_lib8_bc1_10_bc2_60_bc3_54	336.4897
D5_lib8_bc1_10_bc2_61_bc3_73	40.56671
D5_lib8_bc1_10_bc2_61_bc3_9	334.94135
D5_lib8_bc1_10_bc2_62_bc3_70	92.69443
D5_lib8_bc1_10_bc2_63_bc3_48	82.73633
D5_lib8_bc1_10_bc2_63_bc3_79	6.801239
D5_lib8_bc1_10_bc2_63_bc3_82	285.81128
D5_lib8_bc1_10_bc2_64_bc3_59	340.2998
D5_lib8_bc1_10_bc2_64_bc3_94	125.7113
D5_lib8_bc1_10_bc2_66_bc3_34	178.1211
D5_lib8_bc1_10_bc2_66_bc3_47	163.26405
D5_lib8_bc1_10_bc2_68_bc3_42	26.898071
D5_lib8_bc1_10_bc2_6_bc3_49	65.43848
D5_lib8_bc1_10_bc2_6_bc3_68	85.401
D5_lib8_bc1_10_bc2_71_bc3_92	208.67828
D5_lib8_bc1_10_bc2_72_bc3_15	30.765808
D5_lib8_bc1_10_bc2_72_bc3_86	295.32892
D5_lib8_bc1_10_bc2_73_bc3_81	132.50223
D5_lib8_bc1_10_bc2_74_bc3_13	331.95117
D5_lib8_bc1_10_bc2_74_bc3_33	66.97092
D5_lib8_bc1_10_bc2_74_bc3_86	328.00745
D5_lib8_bc1_10_bc2_75_bc3_29	128.32002
D5_lib8_bc1_10_bc2_77_bc3_29	9.769501
D5_lib8_bc1_10_bc2_78_bc3_29	248.35751
D5_lib8_bc1_10_bc2_7_bc3_8	103.577484
D5_lib8_bc1_10_bc2_80_bc3_31	282.4657
D5_lib8_bc1_10_bc2_80_bc3_96	2.132019
D5_lib8_bc1_10_bc2_82_bc3_34	330.02832
D5_lib8_bc1_10_bc2_83_bc3_72	239.32962
D5_lib8_bc1_10_bc2_83_bc3_90	348.43848
D5_lib8_bc1_10_bc2_84_bc3_86	55.544464
D5_lib8_bc1_10_bc2_84_bc3_89	86.93341
D5_lib8_bc1_10_bc2_87_bc3_68	279.2435
D5_lib8_bc1_10_bc2_88_bc3_87	153.99698
D5_lib8_bc1_10_bc2_89_bc3_18	144.04904
D5_lib8_bc1_10_bc2_89_bc3_8	255.30627
D5_lib8_bc1_10_bc2_90_bc3_15	152.37936
D5_lib8_bc1_10_bc2_90_bc3_73	68.917755
D5_lib8_bc1_10_bc2_92_bc3_67	34.4942
D5_lib8_bc1_10_bc2_93_bc3_50	103.03781
