	gene_angle	correction_std	highly_variable	cycle_variable
SAUSA300_RS00010	67.09354	0.8751029985164953	True	True
SAUSA300_RS00015	67.07209	0.8893466281600177	True	True
SAUSA300_RS00020	357.64352	0.3428092020430204	False	False
SAUSA300_RS00025	348.44467	0.2085661549370993	False	False
SAUSA300_RS00030	335.04517	0.3387611430872432	True	False
SAUSA300_RS00035	355.7429	0.24706260731919782	True	False
SAUSA300_RS00040	324.99927	0.2337385077765199	True	False
SAUSA300_RS00045	24.920303	0.411146346328061	True	False
SAUSA300_RS00050	334.61032	0.40023108885739506	False	False
SAUSA300_RS00055	0.52433777	0.34813716942983586	True	False
SAUSA300_RS00060	311.19745	0.46010352948859	False	False
SAUSA300_RS00065	330.41223	0.3332059185151251	True	False
SAUSA300_RS00070	303.0304	0.5276784189825054	False	False
SAUSA300_RS00075	329.37573	0.37960228638706356	True	False
SAUSA300_RS00080	343.75143	0.22767866738733514	True	False
SAUSA300_RS00085	347.95117	0.30335988702796984	True	False
SAUSA300_RS00090	310.68552	0.41020672819583837	True	False
SAUSA300_RS00105	315.4317	0.3746025944961314	False	False
SAUSA300_RS00110	324.8769	0.4309059317374492	True	False
SAUSA300_RS00115	345.1942	0.30710435956540033	True	False
SAUSA300_RS00120	355.55463	0.24206528459661747	False	False
SAUSA300_RS00125	323.15857	0.2714432700414932	False	False
SAUSA300_RS00130	266.10123	0.4956827755843441	False	False
SAUSA300_RS00135	32.060135	0.41899821751112803	True	False
SAUSA300_RS00140	354.07565	0.24920187798923998	True	False
SAUSA300_RS00155	280.21548	0.4817963561503312	False	False
SAUSA300_RS00160	335.1272	0.5382204019695058	True	True
SAUSA300_RS00165	333.90027	0.36150956738085316	True	False
SAUSA300_RS00170	322.80804	0.3118889973371221	False	False
SAUSA300_RS00175	320.2116	0.30326238139667927	False	False
SAUSA300_RS00200	337.91815	0.22547642711427576	False	False
SAUSA300_RS00205	26.850204	0.31574620193422015	False	False
SAUSA300_RS00210	23.289688	0.38356294912318406	False	False
SAUSA300_RS00220	8.565521	0.15038385515665417	False	False
SAUSA300_RS00225	6.0026093	0.20634974958675836	True	False
SAUSA300_RS00245	1.1644745	0.182232106582475	False	False
SAUSA300_RS00250	350.24414	0.24984126680652366	True	False
SAUSA300_RS00255	42.077774	0.35792559107003874	False	False
SAUSA300_RS00260	312.8924	0.3958605412648297	False	False
SAUSA300_RS00265	355.932	0.3837554213487655	False	False
SAUSA300_RS00275	98.20289	0.5352921975336508	False	False
SAUSA300_RS00280	306.31158	0.5637209586169891	False	False
SAUSA300_RS00310	77.436165	0.5349383899076229	False	False
SAUSA300_RS00315	293.08392	0.5769694987341119	True	True
SAUSA300_RS00320	351.80054	0.2628732845704582	True	False
SAUSA300_RS00325	1.6491547	0.25846460349328	False	False
SAUSA300_RS00330	307.50546	0.4150384619509383	False	False
SAUSA300_RS00340	132.49469	0.6147562891812592	False	False
SAUSA300_RS00355	307.71838	0.4428893467792669	False	False
SAUSA300_RS00360	16.206223	0.23342788389105296	False	False
SAUSA300_RS00365	45.980545	0.38800869488891254	False	False
SAUSA300_RS00370	16.718094	0.2256291789357492	True	False
SAUSA300_RS00375	24.295044	0.28989765617626684	True	False
SAUSA300_RS00380	40.538193	0.39945952694361764	True	False
SAUSA300_RS00385	42.70935	0.40305919532627305	False	False
SAUSA300_RS00390	14.628799	0.271929628838484	True	False
SAUSA300_RS00395	348.7086	0.2938554707697101	True	False
SAUSA300_RS00400	332.61743	0.47372165690931795	True	False
SAUSA300_RS00410	65.714195	0.4399620534825738	False	False
SAUSA300_RS00415	332.86346	0.4212805818637861	True	False
SAUSA300_RS00430	337.10294	0.36479094817213004	False	False
SAUSA300_RS00435	292.70633	0.7580539188801882	False	False
SAUSA300_RS00440	320.0916	0.4640026981750232	False	False
SAUSA300_RS00445	313.00766	0.46875223581378783	True	False
SAUSA300_RS00455	205.49487	0.7416517429888906	False	False
SAUSA300_RS00460	48.33493	0.3036745138474065	False	False
SAUSA300_RS00465	330.94647	0.37866846384990593	False	False
SAUSA300_RS00470	291.0984	0.6424861452141623	True	True
SAUSA300_RS00475	54.339638	0.2864304701676074	False	False
SAUSA300_RS00485	343.1618	0.3586589383715383	False	False
SAUSA300_RS00495	17.825974	0.4848126827009178	False	False
SAUSA300_RS00500	314.4059	0.4935917281056454	False	False
SAUSA300_RS00505	315.38907	0.5622691667676653	True	True
SAUSA300_RS00510	157.11194	0.6562855067880202	False	False
SAUSA300_RS00515	44.554825	0.23145573800961391	False	False
SAUSA300_RS00525	307.53137	0.7343146572287107	True	True
SAUSA300_RS00530	181.0646	0.7007341286171236	False	False
SAUSA300_RS00535	18.312744	0.19068569737159785	False	False
SAUSA300_RS00540	9.117813	0.26843696056121935	True	False
SAUSA300_RS00545	34.59842	0.17803732953367138	False	False
SAUSA300_RS00550	357.1668	0.29791501643541807	False	False
SAUSA300_RS00555	3.1853943	0.30312427602769376	True	False
