	N	D	A
0	2342	-3.1392130311369573	-1.9705896
1	2342	-3.1320435436365925	-1.9709638
2	2342	-3.1254208443836626	3.1004646
3	2342	-3.124362262336629	2.9399145
4	2342	-3.1194542910276546	2.7060487
5	2342	-3.1108325339421037	3.067292
6	2342	-3.095251256043203	2.5307148
7	2342	-3.093825232293893	-2.7066514
8	2342	-3.0855446710747407	2.6984594
9	2342	-3.0770760146984713	-3.1324413
10	2342	-3.0740489949606724	2.2898276
11	2342	-3.0710219752228736	2.6251886
12	2342	-3.0655147239947107	2.1472857
13	2342	-3.061346010396268	2.6070983
14	2342	-3.0527548734525736	2.858002
15	2342	-3.050663955194383	2.9313009
16	2342	-3.043323869760819	2.2808926
17	2342	-3.032444970789857	2.3637292
18	2342	-3.0293217163205095	2.5285785
19	2342	-3.021364853743839	2.8831828
20	2342	-3.0155251552612357	3.064006
21	2342	-3.0103722228174106	2.4985883
22	2342	-3.0058754362705074	1.5027502
23	2342	-2.994126050409629	-2.582038
24	2342	-2.990622231320067	3.038193
25	2342	-2.9761870215877897	1.7490904
26	2342	-2.9725126045650283	2.7074802
27	2342	-2.961651202817984	2.6860664
28	2342	-2.9612268951379748	2.4924705
29	2342	-2.957036310009635	2.4471543
30	2342	-2.9337256334449964	2.7561915
31	2342	-2.927728459947132	-2.6729681
32	2342	-2.9188879875626066	-2.735111
33	2342	-2.9170114102974107	-2.9920962
34	2342	-2.9092382685718783	-3.0368276
35	2342	-2.8923053301253185	-3.1212687
36	2342	-2.8830799188145995	2.9713209
37	2342	-2.8784344058643936	-2.407197
38	2342	-2.8771964772722014	2.31941
39	2342	-2.8738501331979007	3.0705926
40	2342	-2.8633999162129276	-1.4276289
41	2342	-2.8612215118351476	2.2045534
42	2342	-2.8361829844086155	-1.7900767
43	2342	-2.8317299409215066	1.9736869
44	2342	-2.828549820474426	2.9984848
45	2342	-2.82215021082645	-3.1128097
46	2342	-2.816371752627559	2.2253902
47	2342	-2.8110482222505344	-0.8291242
48	2342	-2.804202433392651	2.2291062
49	2342	-2.7992288474939846	-2.8587408
50	2342	-2.792938595495495	-2.3390808
51	2342	-2.7899246986756348	-2.849807
52	2342	-2.783118278571567	-2.717564
53	2342	-2.778936442055186	-2.4340677
54	2342	-2.775725701466249	-2.396174
55	2342	-2.772401228921846	-2.886272
56	2342	-2.7651617525258096	2.9445202
57	2342	-2.756058821782516	2.6636765
58	2342	-2.751373940078495	-1.9946637
59	2342	-2.7503284809493995	2.667971
60	2342	-2.736037623314445	2.7419636
61	2342	-2.7349003037597805	1.9670966
62	2342	-2.734301023840592	2.44506
63	2342	-2.729498035875125	2.3214219
64	2342	-2.716751308250926	0.44496942
65	2342	-2.711130325067297	-2.2979891
66	2342	-2.709778664519638	2.6345127
67	2342	-2.7086763394128095	1.9390328
68	2342	-2.7017299415173985	-2.1931872
69	2342	-2.698860396794861	2.8477104
70	2342	-2.690816048098601	-2.8304708
71	2342	-2.685667489960755	2.345826
72	2342	-2.681866218064589	2.3629854
73	2342	-2.6678290701764436	-0.399472
74	2342	-2.664823921968542	-2.3639643
75	2342	-2.655948455136181	2.2258422
76	2342	-2.6523002839492964	0.018580914
77	2342	-2.6486389898444735	-2.821975
78	2342	-2.644872712396143	-2.982457
79	2342	-2.6344268697171493	-2.5377364
80	2342	-2.629265188661365	3.0921443
81	2342	-2.613771396882054	-3.085997
82	2342	-2.6045809800191706	1.5934451
83	2342	-2.5995111593889555	-2.2158916
84	2342	-2.5925691357995237	2.792515
85	2342	-2.5893540209046075	-2.5462303
86	2342	-2.5742757881933467	-0.7167332
87	2342	-2.569144727279419	-1.3515797
88	2342	-2.5631650510054724	-1.7042109
89	2342	-2.5588257394738303	-2.4674115
90	2342	-2.5544164390465163	-1.9998378
91	2342	-2.544622367958465	-1.9831648
92	2342	-2.536980455412317	2.5999172
93	2342	-2.531530070161887	-2.1585898
94	2342	-2.5243343368256457	-1.708545
95	2342	-2.5163512284130984	-2.2029312
96	2342	-2.5129567669730233	-1.9262735
97	2342	-2.5076813539617726	-1.5393543
98	2342	-2.503482020221474	-2.7390215
99	2342	-2.5014829623888524	3.0488207
100	2342	-2.49781729397805	1.3794205
101	2342	-2.4929530657288703	-2.703885
102	2342	-2.4888280951902226	3.0700147
103	2342	-2.4848824711967334	-2.0924077
104	2342	-2.479865142238272	-2.2790413
105	2342	-2.474493494495473	-2.3899736
106	2342	-2.4670659229423193	-1.310957
107	2342	-2.4628359690601638	-1.9125272
108	2342	-2.4555221294624765	0.21247387
109	2342	-2.4513665387819725	-2.9279566
110	2342	-2.4450981583133804	-2.9268632
111	2342	-2.4420798871875404	-2.8723118
112	2342	-2.432788861287129	-2.0772095
113	2342	-2.4197927982221	-0.08861327
114	2342	-2.4128157801848324	-1.7001776
115	2342	-2.392680849761295	-2.8553143
116	2342	-2.3452764958616914	-0.917351
117	2342	-2.3403641502467374	-3.0149987
118	2342	-2.3352943296165227	-0.124473095
119	2342	-2.330018916605272	-1.0854652
120	2342	-2.3246997605342266	-2.0677032
121	2342	-2.3222632721036573	-2.4947429
122	2342	-2.3181470501769685	-1.393788
123	2342	-2.312289854470447	-1.5972443
124	2342	-2.3038649411539724	-2.6565645
125	2342	-2.3019971125007355	2.8673604
126	2342	-2.292666717846509	3.133485
127	2342	-2.2865295665573013	-1.8386893
128	2342	-2.282793909250827	-2.0600038
129	2342	-2.2794956825423003	-1.8851892
130	2342	-2.275248231436227	-1.9622577
131	2342	-2.271862518608111	-1.7712774
132	2342	-2.266403384745723	-1.99197
133	2342	-2.2640762539646406	-2.2284365
134	2342	-2.257904108227597	-1.9611216
135	2342	-2.2504809109804227	-1.744833
136	2342	-2.2190383995999343	-1.2816067
137	2342	-2.212691281623712	-0.79386234
138	2342	-2.2081682492409316	-2.3693907
139	2342	-2.2026697466247276	-2.6259131
140	2342	-2.1981073454881317	0.1836915
141	2342	-2.1927575692752304	-2.0690985
142	2342	-2.1857236852602293	2.973264
143	2342	-2.182079888379324	2.5669386
144	2342	-2.1746129480723555	-2.8650367
145	2342	-2.1644689325059456	-1.868033
146	2342	-2.1619055892019716	0.955034
147	2342	-2.153318826564256	1.795347
148	2342	-2.1469454627521567	2.193075
149	2342	-2.1401084225062323	-1.9714017
150	2342	-2.127011750403675	-2.6959794
151	2342	-2.1233198361569956	2.2970088
152	2342	-2.1193392177156705	2.0123847
153	2342	-2.1063519032626004	-1.9341171
154	2342	-2.1000485283461723	0.8460884
155	2342	-2.0948868472903888	-1.2198666
156	2342	-2.086956230549595	-1.8012142
157	2342	-2.073496491050741	-2.2737305
158	2342	-2.0699270573714865	-0.7787659
159	2342	-2.0690128274217754	-2.0421724
160	2342	-2.0648091193754974	0.9696753
161	2342	-2.0599536397382767	2.3730233
162	2342	-2.0543807739204216	-0.56123567
163	2342	-2.0488254053264843	-1.1315515
164	2342	-2.044831663967221	-1.1725901
165	2342	-2.0400155530838155	-1.9178928
166	2342	-2.035225688036287	-0.6146221
167	2342	-2.027246953929719	-0.8883393
168	2342	-2.026227740636501	0.9388592
169	2342	-2.015309472911724	-2.9333558
170	2342	-2.008533672949512	-1.8806788
171	2342	-2.0043124676793163	-0.36250067
172	2342	-2.001740375763383	-2.1130753
173	2342	-1.9918019525780088	-1.5900087
174	2342	-1.9870295847543982	-1.1759404
175	2342	-1.9762644177389026	-1.1976305
176	2342	-1.9604469273171101	-0.5411737
177	2342	-1.9504253923181258	-1.3413577
178	2342	-1.928300152673926	-1.3098292
179	2342	-1.915479061848076	-1.1576996
180	2342	-1.9064898630602483	-2.2494917
181	2342	-1.9039833857340074	-1.0402961
182	2342	-1.8917265803795098	-0.8672383
183	2342	-1.8901430816149387	-2.383129
184	2342	-1.8711148506042095	3.0259283
185	2342	-1.865528861868416	-1.3648943
186	2342	-1.8601615884315965	-0.8699696
187	2342	-1.8532895537378362	2.6475832
188	2342	-1.8501881707983863	3.0601113
189	2342	-1.8456082724378728	-2.9462452
190	2342	-1.8363259951494204	-2.3076105
191	2342	-1.8300051230090746	-2.1219907
192	2342	-1.8269037400696249	-1.8088408
193	2342	-1.8223238417091112	-1.7590389
194	2342	-1.8147956611184295	-1.7115262
195	2342	-1.8066419547726824	-0.91673565
196	2342	-1.802613218965583	-1.3016691
197	2342	-1.7949275633596402	-1.7937946
198	2342	-1.7892890829520929	-0.029539585
199	2342	-1.7826707580051429	-2.5634885
200	2342	-1.7820189864142004	-2.5568008
201	2342	-1.7784889214887616	2.5805032
202	2342	-1.766980122456755	-2.030303
203	2342	-1.761884055990663	-1.8056389
204	2342	-1.7599943558075284	-2.072527
205	2342	-1.7560749776499163	-2.0865662
206	2342	-1.7506945812951582	-0.8030336
207	2342	-1.7490323450229566	0.245579
208	2342	-1.7383546641270506	-2.5159159
209	2342	-1.7373310765278527	-1.2410426
210	2342	-1.7315657412469008	-2.3327632
211	2342	-1.7243000190149878	-0.9296503
212	2342	-1.7202144172301552	-1.4003462
213	2342	-1.7151270993760224	-1.4427775
214	2342	-1.7081675785626724	-1.6251768
215	2342	-1.7069821416422342	-1.1466683
216	2342	-1.7039769934343325	-0.94009995
217	2342	-1.69687749482964	-0.28684092
218	2342	-1.6957926669467291	-0.58622885
219	2342	-1.694143553592466	-2.002575
220	2342	-1.680893780780627	-1.6637826
221	2342	-1.6778973811846845	-1.7259626
222	2342	-1.6719658222765124	-1.333454
223	2342	-1.652417048854225	-0.77789927
224	2342	-1.650632332014598	-1.3291146
225	2342	-1.6492587999370418	-0.034621477
226	2342	-1.6463105177068735	-1.4733773
227	2342	-1.644880119651584	-0.9047816
228	2342	-1.6367657820596524	-0.25947428
229	2342	-1.6337081421799973	-1.0186524
230	2342	-1.6300774682170307	-1.1422783
231	2342	-1.6268098616503606	-0.71657777
232	2342	-1.6230435842020297	-1.428562
233	2342	-1.6185949150209005	-1.5026234
234	2342	-1.6155285265292865	-0.5302477
235	2342	-1.6099775322413288	-2.0463443
236	2342	-1.6077378875798363	-2.5438685
237	2342	-1.6055026172243227	-2.156385
238	2342	-1.6032673468688095	-1.8704996
239	2342	-1.6010320765132962	-2.4229312
240	2342	-1.596172222570096	-1.4357581
241	2342	-1.593866963318911	-1.489898
242	2342	-1.5875767113204218	-0.78503036
243	2342	-1.5808227828881078	2.9892938
244	2342	-1.5782681881960925	-0.95263076
245	2342	-1.5732858536854668	0.5995467
246	2342	-1.5686403407352614	-0.19864774
247	2342	-1.5647690799434233	-0.99860406
248	2342	-1.5498920653072186	-1.1979873
249	2342	-1.5373946731238495	-1.4126551
250	2342	-1.532674796971993	-2.270762
251	2342	-1.5241973919837644	-2.1961155
252	2342	-1.5235849891466373	0.1369021
253	2342	-1.512535492242476	-1.0868292
254	2342	-1.4987957971609354	0.7680557
255	2342	-1.4932316799550394	-2.7777498
256	2342	-1.4919106395492368	-2.0284953
257	2342	-1.487383232860477	-1.2497301
258	2342	-1.485926588969311	-2.4072618
259	2342	-1.4824708872455234	-1.0570898
