Cell Barcode	UMAP-1	UMAP-2
D5_lib8_bc1_10_bc2_10_bc3_8	1.0141463	-2.4916117
D5_lib8_bc1_10_bc2_10_bc3_85	4.3013678	-3.8458638
D5_lib8_bc1_10_bc2_11_bc3_40	4.7762833	-3.6571987
D5_lib8_bc1_10_bc2_12_bc3_22	-5.8499913	-2.6754477
D5_lib8_bc1_10_bc2_12_bc3_75	3.6540165	0.35687733
D5_lib8_bc1_10_bc2_12_bc3_88	-4.75451	-3.5151443
D5_lib8_bc1_10_bc2_12_bc3_95	4.267062	0.00066804886
D5_lib8_bc1_10_bc2_14_bc3_53	-4.4138184	-2.1695862
D5_lib8_bc1_10_bc2_16_bc3_88	5.422124	1.130197
D5_lib8_bc1_10_bc2_17_bc3_33	3.3269262	-5.2576036
D5_lib8_bc1_10_bc2_18_bc3_22	5.301833	3.009419
D5_lib8_bc1_10_bc2_19_bc3_25	-0.39433908	-2.2070866
D5_lib8_bc1_10_bc2_1_bc3_3	1.3947825	-5.753242
D5_lib8_bc1_10_bc2_20_bc3_66	1.3687367	-2.1339912
D5_lib8_bc1_10_bc2_21_bc3_36	-1.7423415	-0.41673374
D5_lib8_bc1_10_bc2_21_bc3_37	2.80767	5.4297175
D5_lib8_bc1_10_bc2_21_bc3_7	4.5359497	-2.010495
D5_lib8_bc1_10_bc2_21_bc3_8	3.6203947	0.5298166
D5_lib8_bc1_10_bc2_22_bc3_40	0.37492085	-2.856758
D5_lib8_bc1_10_bc2_22_bc3_41	-5.559672	0.48141432
D5_lib8_bc1_10_bc2_22_bc3_49	-3.779735	4.9764333
D5_lib8_bc1_10_bc2_23_bc3_11	4.909791	-0.00019931793
D5_lib8_bc1_10_bc2_23_bc3_14	5.0240326	3.140122
D5_lib8_bc1_10_bc2_23_bc3_50	2.547257	-2.0142646
D5_lib8_bc1_10_bc2_25_bc3_53	3.8736954	-2.2508717
D5_lib8_bc1_10_bc2_26_bc3_91	-2.6220162	-3.5111156
D5_lib8_bc1_10_bc2_27_bc3_14	-3.1039128	-4.24271
D5_lib8_bc1_10_bc2_2_bc3_71	-0.07869911	-3.7577121
D5_lib8_bc1_10_bc2_30_bc3_79	2.0292964	-1.3974679
D5_lib8_bc1_10_bc2_31_bc3_27	-5.513832	-0.31303358
D5_lib8_bc1_10_bc2_32_bc3_12	-3.2159214	-1.5690255
D5_lib8_bc1_10_bc2_33_bc3_80	6.055931	-0.27426004
D5_lib8_bc1_10_bc2_34_bc3_43	1.2324204	-3.420795
D5_lib8_bc1_10_bc2_34_bc3_57	3.7412672	-2.360539
D5_lib8_bc1_10_bc2_35_bc3_9	-1.4188797	-1.8834448
D5_lib8_bc1_10_bc2_35_bc3_96	-4.0096936	-3.5549152
D5_lib8_bc1_10_bc2_37_bc3_67	-6.1858873	1.0890346
D5_lib8_bc1_10_bc2_38_bc3_11	4.423213	-0.25652933
D5_lib8_bc1_10_bc2_38_bc3_41	5.1698523	2.9565845
D5_lib8_bc1_10_bc2_3_bc3_5	0.5665598	5.8305697
D5_lib8_bc1_10_bc2_3_bc3_54	2.4127636	-4.71996
D5_lib8_bc1_10_bc2_3_bc3_61	2.9412613	-1.3135018
D5_lib8_bc1_10_bc2_41_bc3_11	1.9218497	2.6741138
