chrom	type	start	end	name	locus_tag	old_locus_tag	RefSeq	product
1	gene	544	1905	dnaA	SAUSA300_RS00010	SAUSA300_0001	YP_498609.1	chromosomal replication initiator protein DnaA
1	gene	2183	3316	dnaN	SAUSA300_RS00015	SAUSA300_0002	WP_000969809.1	DNA polymerase III subunit beta
1	gene	3697	3942	yaaA	SAUSA300_RS00020	SAUSA300_0003	YP_498611.1	S4 domain-containing protein YaaA
1	gene	3939	5051	recF	SAUSA300_RS00025	SAUSA300_0004	YP_498612.1	DNA replication/repair protein RecF
1	gene	5061	6995	gyrB	SAUSA300_RS00030	SAUSA300_0005	YP_498613.1	DNA topoisomerase (ATP-hydrolyzing) subunit B
1	gene	7032	9695	gyrA	SAUSA300_RS00035	SAUSA300_0006	YP_498614.1	DNA gyrase subunit A
1	gene	9782	10594	SAUSA300_RS00040	SAUSA300_RS00040	SAUSA300_0007	WP_002461649.1	NAD(P)H-hydrate dehydratase
1	gene	10920	12434	hutH	SAUSA300_RS00045	SAUSA300_0008	YP_498616.1	histidine ammonia-lyase
1	gene	12813	14099	serS	SAUSA300_RS00050	SAUSA300_0009	YP_498617.1	serine--tRNA ligase
1	gene	14749	15444	SAUSA300_RS00055	SAUSA300_RS00055	SAUSA300_0010	YP_498618.1	AzlC family ABC transporter permease
1	gene	15441	15770	SAUSA300_RS00060	SAUSA300_RS00060	SAUSA300_0011	YP_498619.1	AzlD domain-containing protein
1	gene	16133	17101	SAUSA300_RS00065	SAUSA300_RS00065	SAUSA300_0012	YP_498620.1	alpha/beta fold hydrolase
1	gene	17392	18330	SAUSA300_RS00070	SAUSA300_RS00070	SAUSA300_0013	YP_498621.1	YybS family protein
1	gene	18345	20312	gdpP	SAUSA300_RS00075	SAUSA300_0014	YP_498622.1	cyclic-di-AMP phosphodiesterase GdpP
1	gene	20309	20755	rplI	SAUSA300_RS00080	SAUSA300_0015	YP_498623.1	50S ribosomal protein L9
1	gene	20787	22187	dnaB	SAUSA300_RS00085	SAUSA300_0016	YP_498624.1	replicative DNA helicase
1	gene	22465	23748	SAUSA300_RS00090	SAUSA300_RS00090	SAUSA300_0017	YP_498625.1	adenylosuccinate synthase
1	gene	24178	24252	SAUSA300_RS00095	SAUSA300_RS00095	SAUSA300_0018		
1	gene	24260	24332	SAUSA300_RS00100	SAUSA300_RS00100	SAUSA300_0019		
1	gene	24952	25653	SAUSA300_RS00105	SAUSA300_RS00105	SAUSA300_0020	YP_498626.1	response regulator transcription factor
1	gene	25666	27492	walK	SAUSA300_RS00110	SAUSA300_0021	YP_498627.1	cell wall metabolism sensor histidine kinase WalK
1	gene	27485	28819	SAUSA300_RS00115	SAUSA300_RS00115	SAUSA300_0022	WP_001060131.1	hypothetical protein
1	gene	28820	29608	SAUSA300_RS00120	SAUSA300_RS00120	SAUSA300_0023	YP_498629.1	two-component system regulatory protein YycI
1	gene	29998	30798	SAUSA300_RS00125	SAUSA300_RS00125	SAUSA300_0024	YP_498630.1	MBL fold metallo-hydrolase
1	gene	31026	33344	adsA	SAUSA300_RS00130	SAUSA300_0025	YP_498631.1	LPXTG-anchored adenosine synthase AdsA
1	gene	33712	34191	rlmH	SAUSA300_RS00135	SAUSA300_0026	WP_020363758.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
1	gene	34513	35769	SAUSA300_RS00140	SAUSA300_RS00140	SAUSA300_0027	WP_001569336.1	DUF3578 domain-containing protein
1	gene	35877	36551	SAUSA300_RS00145	SAUSA300_RS00145	SAUSA300_0028	WP_001105942.1	IS6-like element IS257 family transposase
1	pseudogene	36605	36976	SAUSA300_RS14955	SAUSA300_RS14955		WP_016912861.1	hydroxymethylglutaryl-CoA synthase family protein
