Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-12933		[queC 464,852 &larr; 465,547]	G6245	-
TU0-44202		[gnsA 1,051,999 &rarr; 1,052,240]	G0-9662	+
TU0-7804	PD00406 // PD04418 // PD00365 // PHOSPHO-OMPR	[rob 4,634,441 &larr; 4,635,353]	EG11366	-
TU0-13336	G7072-MONOMER	[ynfD 1,657,565 &rarr; 1,657,870]	G6844	+
TU0-8754		[yghZ 3,147,897 &rarr; 3,148,937]	G7558	+
TU0-13811		[yghED 3,110,590 &larr; 3,111,988]	G7536 // G7535	-
TU00261		[dnaTC-yjjA 4,599,620 &larr; 4,601,615]	EG11214 // EG10237 // EG10244	-
TU0-14217	G7072-MONOMER	[prfC 4,609,358 &rarr; 4,611,003]	EG12114	+
TU723		[mutS 2,857,019 &rarr; 2,859,654]	EG10625	+
TU0-14772		[rraB 4,478,384 &rarr; 4,478,889]	G7885	+
TU0-12913	PD01379 // PD00288 // G6737-MONOMER // PD00353 // G7072-MONOMER	[iraP 401,319 &rarr; 401,646]	EG11256	+
TU0-4287	EG12386-MONOMER	[imp-surA-pdxA 52,427 &larr; 57,336]	EG10691 // EG10985 // EG11569	-
TU0-7603	CPLX0-8071 // G7072-MONOMER	[gcl-hyi-glxR-ybbVW-allB-ybbY-glxK 533,887 &rarr; 543,033]	G6283 // G6282 // G6281 // G6280 // G6278 // G6277 // EG11583	+
TU0-13320		[ynfN 1,637,954 &larr; 1,638,109]	G6824	-
TU0-8737		[yfeR 2,525,930 &larr; 2,526,856]	G7257	-
TU0-13792		[ygfB-pepP-ubiHI 3,051,048 &larr; 3,055,473]	EG11323 // EG10697 // EG11324 // EG11333	-
TU00245		[basRS 4,332,181 &larr; 4,333,950]	EG11614 // EG11615	-
TU0-14200		[yjiJ 4,561,497 &larr; 4,562,675]	G7929	-
TU641	PC00061 // MONOMER0-162 // CPLX0-7797 // EG12386-MONOMER // CPLX0-228	[aroP 120,144 &larr; 121,650]	EG10084	-
TU0-14744	PD00365 // PD00406	[rfaYZ 3,799,345 &larr; 3,801,136]	EG11426 // EG11425	-
TU0-12892		[yahDEFG 335,280 &rarr; 339,743]	G6186 // G6185 // G6184 // G6183	+
TU0-42674		[mlaFEDCB 3,336,963 &larr; 3,340,102]	G7658 // G7659 // EG12799 // EG12800 // EG12801	-
TU0-7301		[kdgK 3,679,419 &rarr; 3,680,348]	EG12253	+
TU0-13302		[dgcF 1,610,907 &larr; 1,611,854]	G6808	-
